Organization,Station.ID,Sample.Date,Sample.Depth_m,Sodium_mgL,Chloride_mgL,Sulfate_mgL
CityofMadison,CityofMadison,1940-01-31,NA,NA,6,NA
CityofMadison,CityofMadison,1940-03-11,NA,NA,3,NA
CityofMadison,CityofMadison,1940-05-28,NA,NA,1.28,NA
CityofMadison,CityofMadison,1940-06-25,NA,NA,2.93,NA
CityofMadison,CityofMadison,1940-07-30,NA,NA,3.17,NA
CityofMadison,CityofMadison,1940-08-27,NA,NA,2.23,NA
CityofMadison,CityofMadison,1940-09-11,NA,NA,0.81,NA
CityofMadison,CityofMadison,1940-10-30,NA,NA,2.88,NA
CityofMadison,CityofMadison,1941-03-07,NA,NA,1.8,NA
CityofMadison,CityofMadison,1941-05-19,NA,NA,1.35,NA
CityofMadison,CityofMadison,1941-06-17,NA,NA,11.9,NA
CityofMadison,CityofMadison,1941-07-08,NA,NA,5.73,NA
CityofMadison,CityofMadison,1941-07-29,NA,NA,1.14,NA
CityofMadison,CityofMadison,1941-08-20,NA,NA,3.18,NA
CityofMadison,CityofMadison,1941-09-10,NA,NA,1.04,NA
CityofMadison,CityofMadison,1941-10-02,NA,NA,3.18,NA
CityofMadison,CityofMadison,1942-02-02,NA,NA,3.75,NA
CityofMadison,CityofMadison,1942-04-28,NA,NA,1.59,NA
CityofMadison,CityofMadison,1942-06-17,NA,NA,2.61,NA
CityofMadison,CityofMadison,1942-07-17,NA,NA,2.12,NA
CityofMadison,CityofMadison,1942-08-10,NA,NA,1.25,NA
CityofMadison,CityofMadison,1942-09-15,NA,NA,1.63,NA
CityofMadison,CityofMadison,1942-10-01,NA,NA,2.5,NA
CityofMadison,CityofMadison,1942-11-12,NA,NA,2.87,NA
CityofMadison,CityofMadison,1942-12-15,NA,NA,5,NA
CityofMadison,CityofMadison,1943-01-14,NA,NA,2.25,NA
CityofMadison,CityofMadison,1943-02-17,NA,NA,2.5,NA
CityofMadison,CityofMadison,1943-04-14,NA,NA,2.87,NA
CityofMadison,CityofMadison,1943-05-25,NA,NA,3.13,NA
CityofMadison,CityofMadison,1943-06-15,NA,NA,1.62,NA
CityofMadison,CityofMadison,1943-07-19,NA,NA,3.75,NA
CityofMadison,CityofMadison,1943-08-16,NA,NA,1.5,NA
CityofMadison,CityofMadison,1943-09-27,NA,NA,2.5,NA
CityofMadison,CityofMadison,1943-10-11,NA,NA,2.5,NA
CityofMadison,CityofMadison,1943-11-01,NA,NA,1.63,NA
CityofMadison,CityofMadison,1943-12-15,NA,NA,2.75,NA
CityofMadison,CityofMadison,1944-01-28,NA,NA,2.5,NA
CityofMadison,CityofMadison,1944-02-23,NA,NA,3.12,NA
CityofMadison,CityofMadison,1944-04-25,NA,NA,3.5,NA
CityofMadison,CityofMadison,1944-06-26,NA,NA,1.13,NA
CityofMadison,CityofMadison,1944-07-28,NA,NA,4,NA
