Organization,Station.ID,Sample.Date,Sample.Depth_m,Sodium_mgL,Chloride_mgL,Sulfate_mgL
City Annual Avg,CityofMadison,1940-07-01,NA,NA,8,NA
City Annual Avg,CityofMadison,1941-07-01,NA,NA,6,NA
City Annual Avg,CityofMadison,1942-07-01,NA,NA,6,NA
City Annual Avg,CityofMadison,1943-07-01,NA,NA,8,NA
City Annual Avg,CityofMadison,1944-07-01,NA,NA,8,NA
City Annual Avg,CityofMadison,1945-07-01,NA,NA,10,NA
City Annual Avg,CityofMadison,1946-07-01,NA,NA,8,NA
City Annual Avg,CityofMadison,1947-07-01,NA,NA,12,NA
City Annual Avg,CityofMadison,1962-07-01,NA,NA,15,NA
City Annual Avg,CityofMadison,1963-07-01,NA,NA,15,NA
City Annual Avg,CityofMadison,1964-07-01,NA,NA,20,NA
City Annual Avg,CityofMadison,1965-07-01,NA,NA,21,NA
City Annual Avg,CityofMadison,1966-07-01,NA,NA,20,NA
City Annual Avg,CityofMadison,1967-07-01,NA,NA,21,NA
City Annual Avg,CityofMadison,1968-07-01,NA,NA,22,NA
City Annual Avg,CityofMadison,1969-07-01,NA,NA,22,NA
City Annual Avg,CityofMadison,1970-07-01,NA,NA,23,NA
City Annual Avg,CityofMadison,1971-07-01,NA,NA,26,NA
City Annual Avg,CityofMadison,1972-07-01,NA,NA,29,NA
City Annual Avg,CityofMadison,1973-07-01,NA,NA,25,NA
Richard C. Lathrop,WI_DNR,1975-07-01,NA,NA,22,NA
Richard C. Lathrop,WI_DNR,1976-07-01,NA,NA,20,NA
Richard C. Lathrop,WI_DNR,1977-07-01,NA,NA,24,NA
Richard C. Lathrop,WI_DNR,1978-07-01,NA,NA,24,NA
Richard C. Lathrop,WI_DNR,1979-07-01,NA,NA,23,NA
Richard C. Lathrop,WI_DNR,1980-07-01,NA,NA,24,NA
Richard C. Lathrop,WI_DNR,1982-07-01,NA,NA,25,NA
Richard C. Lathrop,WI_DNR,1983-07-01,NA,NA,26,NA
Richard C. Lathrop,WI_DNR,1984-07-01,NA,NA,28,NA
Richard C. Lathrop,WI_DNR,1985-07-01,NA,NA,28,NA
Richard C. Lathrop,WI_DNR,1986-07-01,NA,NA,29,NA
Richard C. Lathrop,WI_DNR,1987-07-01,NA,NA,29,NA
Wisconsin Department of Natural Resources,WIDNR_WQX-10001208,1988-08-01,0,16,34,24
Wisconsin Department of Natural Resources,WIDNR_WQX-10001208,1988-10-12,0,16,35,25.2
Wisconsin Department of Natural Resources,WIDNR_WQX-10001208,1989-01-23,1,18,36,24.7
Wisconsin Department of Natural Resources,WIDNR_WQX-10001208,1989-04-24,0,20,39,24.5
Wisconsin Department of Natural Resources,WIDNR_WQX-10001208,1989-07-17,NA,19,38,24.3
Wisconsin Department of Natural Resources,WIDNR_WQX-10001208,1989-07-17,NA,19,38,23.9
Wisconsin Department of Natural Resources,WIDNR_WQX-10001208,1989-07-17,NA,19,38,24.3
Wisconsin Department of Natural Resources,WIDNR_WQX-10001208,1989-07-17,NA,19,38,23.9
Wisconsin Department of Natural Resources,WIDNR_WQX-10001208,1989-10-08,4,19,38,23.6
Wisconsin Department of Natural Resources,WIDNR_WQX-10001208,1989-10-08,0,19,37,23.6
Wisconsin Department of Natural Resources,WIDNR_WQX-10001208,1990-01-23,1,18,36,23.1
Wisconsin Department of Natural Resources,WIDNR_WQX-10001208,1990-04-23,0,20,39,NA
Wisconsin Department of Natural Resources,WIDNR_WQX-10001208,1990-05-21,0,20,38,24.6
Wisconsin Department of Natural Resources,WIDNR_WQX-10001208,1990-07-16,0,18,38,23
Wisconsin Department of Natural Resources,WIDNR_WQX-10001208,1990-10-11,0,18,37,24
Wisconsin Department of Natural Resources,WIDNR_WQX-10001208,1991-01-29,1,20,40,26
Wisconsin Department of Natural Resources,WIDNR_WQX-10001208,1991-04-22,0,20,40,26
Wisconsin Department of Natural Resources,WIDNR_WQX-10001208,1991-07-15,0,19,39,23
Wisconsin Department of Natural Resources,WIDNR_WQX-10001208,1991-10-07,0,20,39,23
Wisconsin Department of Natural Resources,WIDNR_WQX-10001208,1992-01-21,0,19,40,25
Wisconsin Department of Natural Resources,WIDNR_WQX-10001208,1992-04-13,0,21,41,26
Wisconsin Department of Natural Resources,WIDNR_WQX-10001208,1993-01-25,1,NA,40,24
Wisconsin Department of Natural Resources,WIDNR_WQX-10001208,1993-04-22,0,NA,48,22
Wisconsin Department of Natural Resources,WIDNR_WQX-10001208,1993-07-19,0,NA,38,20
Wisconsin Department of Natural Resources,WIDNR_WQX-10001208,1993-10-25,0,NA,36.6,21
Wisconsin Department of Natural Resources,WIDNR_WQX-10001208,1994-01-24,1,NA,38.9,23
Wisconsin Department of Natural Resources,WIDNR_WQX-10001208,1994-04-11,0,NA,38.3,NA
Wisconsin Department of Natural Resources,WIDNR_WQX-10001208,1994-08-01,200,NA,38.9,20
Wisconsin Department of Natural Resources,WIDNR_WQX-10001208,1994-10-27,0,NA,38.8,19
Wisconsin Department of Natural Resources,WIDNR_WQX-10001208,1995-01-24,1,NA,38.9,NA
LTER,LTER_MO,1996-02-06,1,20.19,41.12,26.81
LTER,LTER_MO,1996-02-06,8,20.87,42.18,26.68
LTER,LTER_MO,1996-02-06,20,50.74,83.74,29.78
LTER,LTER_MO,1996-02-06,20,50.28,82.48,27.25
LTER,LTER_MO,1996-05-01,0,23.19,43.72,20.06
LTER,LTER_MO,1996-05-01,8,22.86,56.38,19.92
LTER,LTER_MO,1996-05-01,8,23.08,43.62,19.92
LTER,LTER_MO,1996-05-01,20,23.12,44.34,20.21
LTER,LTER_MO,1996-08-05,0,20.5,39.51,18.28
LTER,LTER_MO,1996-08-05,4,20.17,39.41,18.1
LTER,LTER_MO,1996-08-05,8,20.37,39.59,18.02
LTER,LTER_MO,1996-08-05,12,23.21,45.01,18.25
LTER,LTER_MO,1996-08-05,12,23.99,45.4,17.95
