"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-01-01","3.0",,"0.0","0.0","100.0","-4.4","-1.0","-7.1","   10","  360","7.6","11.6"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-01-02","3.5",,"0.8","10.0","80.0","-5.8","-2.7","-7.1","  240","  220","6.3","10.7"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-01-03","3.4",,"0.0","0.0","80.0","-3.2","2.8","-6.0","  200","  220","5.8","8.9"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-01-04","1.2",,"0.0","0.0","80.0","2.8","7.8","-3.8","  240","  230","4.0","6.7"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-01-05","1.2",,"0.0","0.0","50.0","1.4","10.0","-4.9","  270","  280","6.3","9.4"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-01-06","4.3",,"0.0","0.0","50.0","0.0","2.8","-4.9","  120","  120","9.8","13.4"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-01-07","4.6",,"27.9","0.0","30.0","4.2","8.9","2.2","  160","  270","9.4","13.4"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-01-08","5.1",,"0.0","0.0","0.0","2.9","5.0","-7.1","  310","  290","10.3","18.3"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-01-09","5.2",,"0.0","0.0","0.0","-7.5","-6.6","-10.5","  310","  310","8.1","13.0"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-01-10","2.0",,"0.0","0.0","0.0","-8.7","-3.2","-11.0","  350","  340","5.4","8.1"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-01-11","3.9",,"0.0","0.0","0.0","-5.9","-2.1","-8.2","  170","  200","7.2","9.4"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-01-12","4.4",,"0.0","0.0","0.0","-1.6","0.0","-2.7","   60","   40","8.9","11.2"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-01-13","3.1",,"0.0","0.0","0.0","-1.9","-1.6","-3.2","   50","   60","6.7","8.5"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-01-14","2.6",,"0.0","0.0","0.0","-3.0","-1.0","-4.9","  210","  280","5.4","8.9"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-01-15","2.8",,"0.0","0.0","0.0","-2.8","0.6","-3.2","  240","  220","6.3","11.2"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-01-16","3.1",,"0.0","0.0","0.0","-2.0","0.6","-7.1","  340","  330","7.2","11.2"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-01-17","2.0",,"0.0","0.0","0.0","-3.7","-0.5","-5.5","  350","  340","5.4","8.1"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-01-18","4.0",,"8.1","91.0","0.0","-5.6","-3.2","-9.9","   30","   30","8.9","11.6"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-01-19","6.2",,"2.3","23.0","100.0","-10.2","-8.2","-17.7","   20","   20","10.7","13.0"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-01-20","3.1",,"0.0","0.0","80.0","-15.6","-13.2","-24.3","   20","   20","7.2","9.4"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-01-21","4.0",,"0.0","0.0","80.0","-18.9","-8.8","-25.5","  150","  170","9.4","12.1"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-01-22","3.7",,"5.1","58.0","80.0","-8.2","-4.9","-9.9","  160","  160","8.9","11.6"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-01-23","3.5",,"7.4","117.0","180.0","-6.6","-5.5","-15.5","   10","   10","7.6","10.3"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-01-24","3.4",,"0.0","3.0","200.0","-11.0","-5.5","-18.2","  310","  300","9.4","14.3"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-01-25","1.4",,"0.0","0.0","200.0","-18.9","-17.1","-27.7","  310","  300","5.8","9.8"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-01-26","1.7",,"0.8","13.0","180.0","-23.4","-15.5","-30.5","  190","  210","6.3","8.1"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-01-27","3.1",,"1.5","30.0","180.0","-18.3","-15.5","-24.3","  120","  120","7.2","9.4"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-01-28","5.0",,"10.7","130.0","230.0","-12.1","-6.0","-16.6","   10","   20","10.3","14.3"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-01-29","4.4",,"0.0","10.0","230.0","-16.6","-14.3","-27.7","  300","  310","9.8","15.7"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-01-30","3.3",,"0.0","0.0","230.0","-27.3","-23.2","-32.1","  310","  290","8.1","12.1"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-01-31","1.4",,"0.5","15.0","230.0","-27.6","-20.5","-32.1","  180","  220","4.5","5.8"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-02-01","2.9",,"0.0","3.0","230.0","-17.4","-9.3","-21.0","  190","  190","6.3","8.1"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-02-02","3.5",,"0.3","0.0","230.0","-5.2","3.9","-11.0","  200","  200","6.3","8.9"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-02-03","2.9",,"0.0","0.0","150.0","4.0","5.6","2.8","  200","  230","5.8","8.9"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-02-04","3.4",,"6.9","0.0","80.0","4.6","7.2","-6.6","  290","  290","7.2","11.2"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-02-05","4.7",,"4.1","13.0","30.0","-5.0","-2.7","-7.1","   90","   90","10.3","13.9"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-02-06","4.0",,"1.3","5.0","30.0","-4.4","-1.0","-5.5","   60","   60","9.4","12.5"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-02-07","4.2",,"6.9","5.0","30.0","-2.7","-0.5","-14.3","  270","  260","8.1","16.5"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-02-08","3.7",,"0.0","0.0","30.0","-14.8","-13.2","-18.8","  280","  270","8.1","13.4"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-02-09","2.2",,"0.0","0.0","30.0","-15.3","-7.7","-18.8","  130","  170","4.5","6.7"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-02-10","3.3",,"1.8","23.0","30.0","-6.2","-2.7","-7.7","   80","   70","6.3","8.9"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-02-11","5.7",,"2.8","38.0","50.0","-3.7","-1.6","-4.9","   80","   80","9.4","12.1"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-02-12","4.8",,"12.7","211.0","150.0","-2.4","-1.6","-5.5","   80","   90","10.3","14.8"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-02-13","4.0",,"0.0","5.0","230.0","-6.6","-3.2","-9.3","  290","  280","7.2","13.4"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-02-14","3.4",,"0.3","8.0","200.0","-2.5","5.0","-7.1","  290","  280","9.4","14.3"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-02-15","3.6",,"0.0","0.0","100.0","-9.4","-7.1","-16.6","  300","  320","8.1","15.7"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-02-16","2.1",,"0.0","0.0","80.0","-11.8","-4.3","-19.3","   80","  100","7.2","10.3"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-02-17","6.1",,"5.3","137.0","100.0","-5.4","-3.8","-7.7","   50","   30","10.3","13.9"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-02-18","2.5",,"0.5","8.0","130.0","-7.2","-3.2","-16.0","   10","   20","7.2","9.8"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-02-19","1.4",,"0.0","0.0","130.0","-12.2","-3.8","-20.5","  190","  190","5.8","6.7"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-02-20","5.1",,"6.9","84.0","150.0","-3.2","1.1","-4.9","  100","  290","8.9","15.2"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-02-21","2.5",,"0.0","0.0","150.0","-4.2","-2.7","-13.8","  240","  230","5.8","11.2"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-02-22","1.8",,"0.0","0.0","130.0","-7.7","1.7","-14.3","  110","  110","5.8","7.2"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-02-23","4.5",,"21.3","0.0","100.0","-0.2","1.1","-1.0","  120","  130","13.0","17.0"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-02-24","6.7",,"1.8","8.0","100.0","-1.3","2.2","-14.3","  280","  280","11.6","20.1"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-02-25","3.0",,"0.0","0.0","100.0","-14.3","-11.0","-17.7","  300","  290","8.1","13.4"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-02-26","4.7",,"1.5","23.0","100.0","-13.1","-11.6","-14.3","   50","   20","6.7","8.5"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-02-27","3.3",,"0.5","3.0","100.0","-10.2","-7.1","-16.0","  320","  320","7.6","10.7"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-02-28","0.9",,"0.0","0.0","100.0","-12.1","-6.0","-17.7","  240","  270","3.6","5.8"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-03-01","1.7",,"0.8","13.0","100.0","-5.7","-1.0","-7.1","   50","   50","4.5","5.8"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-03-02","2.8",,"0.8","28.0","130.0","-4.8","-3.8","-8.2","  350","  340","6.7","10.3"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-03-03","3.8",,"0.0","0.0","130.0","-10.8","-8.2","-21.0","  320","  290","6.3","10.3"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-03-04","3.5",,"0.0","0.0","100.0","-18.9","-13.8","-23.2","  240","  220","6.7","11.2"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-03-05","3.5",,"0.0","0.0","100.0","-13.9","-8.2","-17.7","  290","  290","8.1","13.4"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-03-06","2.9",,"0.0","0.0","100.0","-11.7","-4.3","-16.6","  250","  220","6.3","9.8"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-03-07","1.0",,"0.0","0.0","100.0","-9.6","-4.9","-16.6","  120","  100","4.5","5.8"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-03-08","1.6",,"0.0","0.0","100.0","-6.3","2.2","-11.6","  150","  170","5.4","6.7"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-03-09","6.0",,"11.2","30.0","80.0","-1.0","2.8","-3.2","   90","   90","13.4","18.8"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-03-10","4.4",,"0.0","0.0","100.0","0.3","2.2","-3.8","  280","  300","7.2","13.9"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-03-11","2.5",,"0.0","0.0","100.0","-2.5","2.2","-6.0","  320","  290","6.3","9.4"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-03-12","4.2",,"0.5","0.0","100.0","-1.6","5.6","-9.3","  170","  160","10.3","14.3"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-03-13","5.0",,"7.4","0.0","50.0","4.3","10.6","2.8","  150","  150","10.7","13.9"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-03-14","5.3",,"1.8","0.0","0.0","9.8","15.6","2.2","  190","  230","9.8","17.9"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-03-15","5.2",,"0.0","0.0","0.0","2.5","5.0","-1.0","  300","  300","9.8","17.0"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-03-16","2.1",,"0.0","0.0","0.0","0.1","3.9","-4.3","  320","  320","6.3","8.1"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-03-17","2.5",,"0.0","0.0","0.0","-0.7","5.0","-3.8","  300","  300","6.7","10.7"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-03-18","1.3",,"0.0","0.0","0.0","0.2","6.7","-5.5","  300","  300","6.3","8.9"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-03-19","1.8",,"0.0","0.0","0.0","1.9","9.4","-4.9","  240","  210","5.4","9.4"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-03-20","3.3",,"0.0","0.0","0.0","4.3","8.9","0.6","  340","  330","7.6","11.6"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-03-21","3.5",,"0.0","0.0","0.0","4.0","10.6","2.2","  280","  260","6.3","10.7"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-03-22","3.6",,"0.0","0.0","0.0","5.6","9.4","-2.7","   10","   10","8.9","13.4"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-03-23","2.0",,"0.0","0.0","0.0","2.6","11.7","-4.3","  200","  210","5.8","8.1"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-03-24","3.3",,"0.0","0.0","0.0","6.8","11.7","-1.6","   40","   60","7.6","9.8"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-03-25","3.4",,"0.0","0.0","0.0","1.2","6.7","-4.3","   60","   60","7.6","9.8"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-03-26","2.2",,"0.0","0.0","0.0","0.8","8.9","-6.6","  170","  180","6.3","8.1"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-03-27","6.4",,"0.8","0.0","0.0","6.0","15.0","1.1","  200","  190","10.7","16.1"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-03-28","2.6",,"0.3","0.0","0.0","10.3","15.0","3.9","  360","  210","7.2","9.4"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-03-29","2.3",,"0.0","0.0","0.0","5.8","11.7","-0.5","  360","   10","5.8","7.6"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-03-30","6.4",,"0.0","0.0","0.0","4.9","6.1","-4.9","  340","  340","10.7","14.8"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-03-31","3.0",,"0.0","0.0","0.0","-1.3","4.4","-5.5","  340","  360","8.1","11.6"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-01","4.7",,"0.0","0.0","0.0","2.5","11.1","-2.1","  190","  180","12.5","17.9"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-02","2.5",,"1.3","0.0","0.0","5.5","9.4","1.7","  300","  260","7.6","13.0"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-03","2.4",,"0.0","0.0","0.0","6.7","13.9","-2.1","  310","  320","7.6","12.5"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-04","4.5",,"0.0","0.0","0.0","6.2","6.7","3.3","  100","  110","8.9","13.9"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-05","2.2",,"0.0","0.0","0.0","6.2","15.0","2.8","  320","  330","4.5","7.6"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-06","3.8",,"0.0","0.0","0.0","10.2","17.8","6.1","  160","  150","8.9","11.2"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-07","2.8",,"3.0","0.0","0.0","12.8","16.7","8.3","  160","  170","8.1","10.3"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-08","3.0",,"0.0","0.0","0.0","14.1","22.8","3.9","  240","  220","9.8","13.9"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-09","4.4",,"0.0","0.0","0.0","12.9","18.9","1.7","   50","  280","9.8","16.1"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-10","6.5",,"8.1","43.0","0.0","3.0","3.3","-1.0","   70","   70","11.2","15.7"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-11","8.3",,"14.7","0.0","0.0","0.8","5.6","0.0","   70","   80","13.4","17.9"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","43.1405","-89.3452","264.0","2019-04-12","5.3",,"0.0","0.0","0.0","3.8","6.1","2.2","  240","  240","10.3","17.4"
