#,Date,Low Range,Full Range,Temp
1,12-27-2019 12:45:00,302.3,303.7,1.73
2,12-27-2019 13:15:00,299.3,300.8,1.42
3,12-27-2019 13:45:00,299.6,301.1,1.44
4,12-27-2019 14:15:00,299.6,300.8,1.45
5,12-27-2019 14:45:00,299.6,301.1,1.43
6,12-27-2019 15:15:00,299.6,301.1,1.43
7,12-27-2019 15:45:00,299.5,301.1,1.43
8,12-27-2019 16:15:00,299.3,300.4,1.4
9,12-27-2019 16:45:00,299.3,300.4,1.4
10,12-27-2019 17:15:00,299.1,300.4,1.38
11,12-27-2019 17:45:00,299.2,300.4,1.38
12,12-27-2019 18:15:00,299.2,300.4,1.37
13,12-27-2019 18:45:00,299.2,300.4,1.37
14,12-27-2019 19:15:00,299.3,300.4,1.4
15,12-27-2019 19:45:00,299.3,300.4,1.38
16,12-27-2019 20:15:00,299.4,300.4,1.37
17,12-27-2019 20:45:00,300,301.5,1.41
18,12-27-2019 21:15:00,300.1,301.5,1.41
19,12-27-2019 21:45:00,300.2,301.5,1.42
20,12-27-2019 22:15:00,299.8,301.2,1.37
21,12-27-2019 22:45:00,299.3,300.4,1.3
22,12-27-2019 23:15:00,299.9,301.5,1.37
23,12-27-2019 23:45:00,299.9,301.2,1.38
24,12-28-2019 00:15:00,300,301.2,1.37
25,12-28-2019 00:45:00,300.1,301.5,1.4
26,12-28-2019 01:15:00,300,301.5,1.4
27,12-28-2019 01:45:00,299.8,301.5,1.37
28,12-28-2019 02:15:00,300,301.2,1.4
29,12-28-2019 02:45:00,299.6,300.4,1.31
30,12-28-2019 03:15:00,299.5,300.4,1.31
31,12-28-2019 03:45:00,299.7,301.2,1.36
32,12-28-2019 04:15:00,299.6,300.4,1.23
33,12-28-2019 04:45:00,299.7,300.8,1.28
34,12-28-2019 05:15:00,299,300.1,1.16
35,12-28-2019 05:45:00,298.3,299.3,1.11
36,12-28-2019 06:15:00,297.8,298.6,1.08
37,12-28-2019 06:45:00,296.8,298.2,1.04
38,12-28-2019 07:15:00,296.6,297.8,1.06
39,12-28-2019 07:45:00,296.3,297.1,1.09
40,12-28-2019 08:15:00,297,297.8,1.15
41,12-28-2019 08:45:00,298.2,299.3,1.24
42,12-28-2019 09:15:00,298.7,300,1.29
43,12-28-2019 09:45:00,299.4,300.4,1.32
44,12-28-2019 10:15:00,299.6,300.8,1.36
45,12-28-2019 10:45:00,299.9,301.2,1.38
46,12-28-2019 11:15:00,300.1,301.2,1.41
47,12-28-2019 11:45:00,300.2,301.5,1.41
48,12-28-2019 12:15:00,300.3,301.5,1.42
49,12-28-2019 12:45:00,300.4,301.5,1.41
50,12-28-2019 13:15:00,300.3,301.5,1.41
51,12-28-2019 13:45:00,300.4,301.5,1.42
52,12-28-2019 14:15:00,300.3,301.5,1.41
53,12-28-2019 14:45:00,300.2,301.1,1.42
54,12-28-2019 15:15:00,300,301.2,1.4
55,12-28-2019 15:45:00,300,300.8,1.4
56,12-28-2019 16:15:00,300,300.8,1.41
57,12-28-2019 16:45:00,300.1,301.2,1.4
58,12-28-2019 17:15:00,300,301.2,1.41
59,12-28-2019 17:45:00,299.9,300.8,1.4
60,12-28-2019 18:15:00,299.9,301.2,1.37
61,12-28-2019 18:45:00,299.8,300.8,1.4
62,12-28-2019 19:15:00,299.9,301.2,1.38
63,12-28-2019 19:45:00,299.9,301.2,1.38
64,12-28-2019 20:15:00,299.9,300.8,1.38
65,12-28-2019 20:45:00,299.9,300.8,1.4
66,12-28-2019 21:15:00,299.8,301.2,1.4
67,12-28-2019 21:45:00,299.9,300.8,1.4
68,12-28-2019 22:15:00,299.9,301.2,1.4
69,12-28-2019 22:45:00,299.9,301.2,1.41
70,12-28-2019 23:15:00,300,300.8,1.41
71,12-28-2019 23:45:00,299.9,300.8,1.42
72,12-29-2019 00:15:00,300,301.1,1.42
73,12-29-2019 00:45:00,300,300.8,1.42
74,12-29-2019 01:15:00,300,300.8,1.42
75,12-29-2019 01:45:00,300.1,301.1,1.43
76,12-29-2019 02:15:00,299.9,301.1,1.43
77,12-29-2019 02:45:00,300.1,301.1,1.44
78,12-29-2019 03:15:00,300,301.1,1.42
79,12-29-2019 03:45:00,300.2,301.1,1.44
80,12-29-2019 04:15:00,300.1,301.1,1.42
81,12-29-2019 04:45:00,300.3,301.5,1.45
82,12-29-2019 05:15:00,300.3,301.1,1.44
83,12-29-2019 05:45:00,300.3,301.5,1.44
84,12-29-2019 06:15:00,300.3,301.1,1.44
85,12-29-2019 06:45:00,300.3,301.1,1.45
86,12-29-2019 07:15:00,300.3,301.5,1.45
87,12-29-2019 07:45:00,300.6,301.5,1.47
88,12-29-2019 08:15:00,300.5,301.5,1.44
89,12-29-2019 08:45:00,300.8,301.5,1.45
90,12-29-2019 09:15:00,300.8,301.9,1.47
91,12-29-2019 09:45:00,301.2,302.3,1.49
92,12-29-2019 10:15:00,300.8,301.9,1.47
93,12-29-2019 10:45:00,301.2,302.3,1.5
94,12-29-2019 11:15:00,301.1,301.9,1.48
95,12-29-2019 11:45:00,300.9,301.9,1.47
96,12-29-2019 12:15:00,301.5,302.3,1.5
97,12-29-2019 12:45:00,301.6,302.7,1.48
98,12-29-2019 13:15:00,301.8,302.6,1.51
99,12-29-2019 13:45:00,301.6,302.7,1.49
100,12-29-2019 14:15:00,301.9,302.6,1.53
101,12-29-2019 14:45:00,301.7,302.6,1.51
102,12-29-2019 15:15:00,301.7,302.6,1.51
103,12-29-2019 15:45:00,301.5,302.3,1.5
104,12-29-2019 16:15:00,301.2,302.3,1.5
105,12-29-2019 16:45:00,301.2,301.9,1.51
106,12-29-2019 17:15:00,301.1,301.9,1.51
107,12-29-2019 17:45:00,301,301.9,1.51
108,12-29-2019 18:15:00,301.2,301.9,1.51
109,12-29-2019 18:45:00,301.2,302.6,1.51
110,12-29-2019 19:15:00,301.5,302.3,1.5
