#,Date,Low Range,Full Range,Temp
1,12-27-2019 12:45:00,303.4,303.7,1.31
2,12-27-2019 13:15:00,302.7,302.9,1.3
3,12-27-2019 13:45:00,303.2,303.3,1.31
4,12-27-2019 14:15:00,303.2,303.3,1.33
5,12-27-2019 14:45:00,303.3,303.3,1.31
6,12-27-2019 15:15:00,303.2,303.3,1.33
7,12-27-2019 15:45:00,303.2,303.3,1.31
8,12-27-2019 16:15:00,303.2,303.3,1.29
9,12-27-2019 16:45:00,303.3,303.3,1.31
10,12-27-2019 17:15:00,303.2,303.3,1.3
11,12-27-2019 17:45:00,303.8,303.7,1.34
12,12-27-2019 18:15:00,304.4,304,1.4
13,12-27-2019 18:45:00,304.6,304.8,1.43
14,12-27-2019 19:15:00,304.6,304.4,1.42
15,12-27-2019 19:45:00,304.7,304.4,1.42
16,12-27-2019 20:15:00,304.7,304.8,1.42
17,12-27-2019 20:45:00,304.6,304.8,1.43
18,12-27-2019 21:15:00,304.6,304.8,1.43
19,12-27-2019 21:45:00,304.7,304.8,1.42
20,12-27-2019 22:15:00,304.7,304.8,1.43
21,12-27-2019 22:45:00,304.6,304.4,1.42
22,12-27-2019 23:15:00,304.8,304.8,1.42
23,12-27-2019 23:45:00,304.7,304.8,1.42
24,12-28-2019 00:15:00,304.8,304.8,1.43
25,12-28-2019 00:45:00,304.9,304.8,1.45
26,12-28-2019 01:15:00,305.2,305.1,1.45
27,12-28-2019 01:45:00,305.4,305.1,1.47
28,12-28-2019 02:15:00,305.9,305.9,1.52
29,12-28-2019 02:45:00,305.8,305.9,1.52
30,12-28-2019 03:15:00,306,306.3,1.53
31,12-28-2019 03:45:00,305.9,305.9,1.53
32,12-28-2019 04:15:00,305.9,305.9,1.52
33,12-28-2019 04:45:00,306,305.9,1.53
34,12-28-2019 05:15:00,305.9,306.3,1.53
35,12-28-2019 05:45:00,305.8,305.5,1.52
36,12-28-2019 06:15:00,305.8,305.5,1.51
37,12-28-2019 06:45:00,305.8,305.9,1.49
38,12-28-2019 07:15:00,305.7,305.5,1.49
39,12-28-2019 07:45:00,305.7,305.5,1.51
40,12-28-2019 08:15:00,305.8,305.5,1.49
41,12-28-2019 08:45:00,305.8,305.5,1.49
42,12-28-2019 09:15:00,305.8,305.5,1.49
43,12-28-2019 09:45:00,305.8,305.5,1.49
44,12-28-2019 10:15:00,305.8,305.5,1.51
45,12-28-2019 10:45:00,305.9,305.9,1.51
46,12-28-2019 11:15:00,305.1,305.2,1.43
47,12-28-2019 11:45:00,304.1,303.7,1.35
48,12-28-2019 12:15:00,305.8,305.5,1.49
49,12-28-2019 12:45:00,305.1,305.2,1.43
50,12-28-2019 13:15:00,304.5,304.4,1.4
51,12-28-2019 13:45:00,304.7,304.8,1.4
52,12-28-2019 14:15:00,303.6,303.3,1.33
53,12-28-2019 14:45:00,305.4,305.2,1.43
54,12-28-2019 15:15:00,304.7,304.8,1.4
55,12-28-2019 15:45:00,304.1,303.7,1.36
56,12-28-2019 16:15:00,304.6,304.4,1.39
57,12-28-2019 16:45:00,304.4,304.4,1.37
58,12-28-2019 17:15:00,302.7,302.6,1.25
59,12-28-2019 17:45:00,304.9,304.8,1.4
60,12-28-2019 18:15:00,304.7,304.8,1.37
61,12-28-2019 18:45:00,304.7,304.8,1.39
62,12-28-2019 19:15:00,304.4,304.4,1.36
63,12-28-2019 19:45:00,304.4,304.4,1.35
64,12-28-2019 20:15:00,304.7,304.4,1.37
65,12-28-2019 20:45:00,304.1,303.7,1.35
66,12-28-2019 21:15:00,303.8,303.7,1.36
67,12-28-2019 21:45:00,303.5,303.3,1.35
68,12-28-2019 22:15:00,303.4,303.3,1.35
69,12-28-2019 22:45:00,303,302.9,1.3
70,12-28-2019 23:15:00,302.6,302.6,1.27
71,12-28-2019 23:45:00,302.9,302.6,1.3
72,12-29-2019 00:15:00,302.9,302.6,1.3
73,12-29-2019 00:45:00,303.2,302.9,1.31
74,12-29-2019 01:15:00,303.2,302.9,1.31
75,12-29-2019 01:45:00,303.1,302.9,1.31
76,12-29-2019 02:15:00,302.9,302.9,1.3
77,12-29-2019 02:45:00,302.7,302.6,1.29
78,12-29-2019 03:15:00,302.7,302.6,1.28
79,12-29-2019 03:45:00,302.6,302.6,1.28
80,12-29-2019 04:15:00,302.7,302.6,1.28
81,12-29-2019 04:45:00,302.5,302.2,1.29
82,12-29-2019 05:15:00,302.7,302.6,1.29
83,12-29-2019 05:45:00,302.7,302.9,1.29
84,12-29-2019 06:15:00,302.8,302.6,1.3
85,12-29-2019 06:45:00,302.8,302.9,1.3
86,12-29-2019 07:15:00,302.9,302.6,1.3
87,12-29-2019 07:45:00,302.8,302.6,1.3
88,12-29-2019 08:15:00,302.9,302.6,1.3
89,12-29-2019 08:45:00,303,302.9,1.29
90,12-29-2019 09:15:00,303.2,302.9,1.29
91,12-29-2019 09:45:00,303.1,302.9,1.29
92,12-29-2019 10:15:00,303.2,302.9,1.3
93,12-29-2019 10:45:00,303.4,303.3,1.3
94,12-29-2019 11:15:00,303.5,303.3,1.3
95,12-29-2019 11:45:00,303.3,303.3,1.3
96,12-29-2019 12:15:00,303.6,303.3,1.31
97,12-29-2019 12:45:00,303.7,303.3,1.31
98,12-29-2019 13:15:00,303.7,303.3,1.33
99,12-29-2019 13:45:00,304.1,303.7,1.33
100,12-29-2019 14:15:00,304,303.7,1.34
101,12-29-2019 14:45:00,304,303.7,1.34
