#,Date,Low Range,Full Range,Temp
1,11-06-2020 12:00:00,389,388.8,8.87
2,11-06-2020 12:30:00,389,388.5,8.88
3,11-06-2020 13:00:00,389.3,388.8,8.89
4,11-06-2020 13:30:00,389.4,388.8,8.91
5,11-06-2020 14:00:00,388.3,388.1,8.8
6,11-06-2020 14:30:00,389,388.8,8.85
7,11-06-2020 15:00:00,388.7,388.5,8.83
8,11-06-2020 15:30:00,388.6,388.1,8.81
9,11-06-2020 16:00:00,388.2,388.1,8.76
10,11-06-2020 16:30:00,388.2,387.8,8.74
11,11-06-2020 17:00:00,388,387.8,8.7
12,11-06-2020 17:30:00,387.8,387.4,8.68
13,11-06-2020 18:00:00,388.3,388.1,8.7
14,11-06-2020 18:30:00,388.5,388.1,8.72
15,11-06-2020 19:00:00,388.9,388.5,8.76
16,11-06-2020 19:30:00,389.1,388.9,8.8
17,11-06-2020 20:00:00,389.3,388.9,8.8
18,11-06-2020 20:30:00,389.2,388.9,8.8
19,11-06-2020 21:00:00,389.2,388.5,8.78
20,11-06-2020 21:30:00,389.1,388.5,8.77
21,11-06-2020 22:00:00,389.1,388.5,8.76
22,11-06-2020 22:30:00,389.1,388.9,8.77
23,11-06-2020 23:00:00,389,388.5,8.76
24,11-06-2020 23:30:00,389,388.5,8.76
25,11-07-2020 00:00:00,389.1,388.5,8.76
26,11-07-2020 00:30:00,389,388.5,8.75
27,11-07-2020 01:00:00,388.9,388.5,8.75
28,11-07-2020 01:30:00,388.9,388.5,8.74
29,11-07-2020 02:00:00,388.9,388.9,8.74
30,11-07-2020 02:30:00,388.6,388.1,8.72
31,11-07-2020 03:00:00,388.6,388.5,8.72
32,11-07-2020 03:30:00,388.4,388.1,8.7
33,11-07-2020 04:00:00,388.4,388.1,8.7
34,11-07-2020 04:30:00,388.4,388.1,8.7
35,11-07-2020 05:00:00,388.4,388.1,8.7
36,11-07-2020 05:30:00,388.4,388.2,8.69
37,11-07-2020 06:00:00,388.3,388.2,8.67
38,11-07-2020 06:30:00,388.3,387.8,8.67
39,11-07-2020 07:00:00,388.3,388.2,8.67
40,11-07-2020 07:30:00,388.2,387.8,8.67
41,11-07-2020 08:00:00,388.2,388.2,8.67
42,11-07-2020 08:30:00,388.4,388.2,8.68
43,11-07-2020 09:00:00,388.9,388.5,8.72
44,11-07-2020 09:30:00,388.9,388.5,8.72
45,11-07-2020 10:00:00,389.4,388.9,8.77
46,11-07-2020 10:30:00,389.5,388.9,8.78
47,11-07-2020 11:00:00,389.9,389.6,8.84
48,11-07-2020 11:30:00,390.4,390,8.87
49,11-07-2020 12:00:00,390.3,390,8.85
50,11-07-2020 12:30:00,390.3,390,8.84
51,11-07-2020 13:00:00,390.6,390.4,8.87
52,11-07-2020 13:30:00,390.7,390.4,8.87
53,11-07-2020 14:00:00,390.7,390.4,8.87
54,11-07-2020 14:30:00,390.3,390,8.82
55,11-07-2020 15:00:00,390.4,390,8.82
56,11-07-2020 15:30:00,389.9,389.6,8.77
57,11-07-2020 16:00:00,389.9,389.6,8.77
58,11-07-2020 16:30:00,389.8,389.3,8.75
59,11-07-2020 17:00:00,389.8,389.7,8.75
60,11-07-2020 17:30:00,389.7,389.7,8.74
61,11-07-2020 18:00:00,389.6,389.3,8.74
62,11-07-2020 18:30:00,389.5,388.9,8.75
63,11-07-2020 19:00:00,389.5,388.9,8.75
64,11-07-2020 19:30:00,389.5,388.9,8.74
65,11-07-2020 20:00:00,389.5,388.9,8.74
66,11-07-2020 20:30:00,389.5,388.9,8.72
67,11-07-2020 21:00:00,389.6,388.9,8.74
68,11-07-2020 21:30:00,389.7,389.3,8.76
69,11-07-2020 22:00:00,389.6,388.9,8.75
70,11-07-2020 22:30:00,389.7,389.3,8.75
71,11-07-2020 23:00:00,389.7,389.3,8.76
72,11-07-2020 23:30:00,389.6,389.3,8.76
