#,Date,Low Range,Full Range,Temp
1,01-03-2020 14:45:00,341.6,338.5,1.38
2,01-03-2020 15:15:00,337.4,334.4,1.32
3,01-03-2020 15:45:00,336.5,333.2,1.32
4,01-03-2020 16:15:00,336.2,332.5,1.32
5,01-03-2020 16:45:00,336.7,333.2,1.33
6,01-03-2020 17:15:00,335.1,331.7,1.31
7,01-03-2020 17:45:00,334.3,330.6,1.31
8,01-03-2020 18:15:00,325.4,322.2,1.48
9,01-03-2020 18:45:00,331.5,328.3,1.38
10,01-03-2020 19:15:00,327.6,324.2,1.4
11,01-03-2020 19:45:00,340,336.2,1.36
12,01-03-2020 20:15:00,340.5,336.6,1.35
13,01-03-2020 20:45:00,337.3,334,1.32
14,01-03-2020 21:15:00,339.3,335.9,1.35
15,01-03-2020 21:45:00,340,336.6,1.35
16,01-03-2020 22:15:00,339.4,335.8,1.36
17,01-03-2020 22:45:00,335,331.7,1.38
18,01-03-2020 23:15:00,335,331.3,1.4
19,01-03-2020 23:45:00,333.3,329.8,1.4
20,01-04-2020 00:15:00,333.5,329.8,1.4
21,01-04-2020 00:45:00,338.7,335.1,1.38
22,01-04-2020 01:15:00,334.4,330.6,1.4
23,01-04-2020 01:45:00,333.9,330.2,1.41
24,01-04-2020 02:15:00,335.9,332.4,1.43
25,01-04-2020 02:45:00,338.4,334.7,1.44
26,01-04-2020 03:15:00,337.7,334.3,1.46
27,01-04-2020 03:45:00,338.8,335.1,1.44
28,01-04-2020 04:15:00,339.1,335.8,1.43
29,01-04-2020 04:45:00,343.4,340,1.44
30,01-04-2020 05:15:00,341.8,338.1,1.52
31,01-04-2020 05:45:00,342.1,338.8,1.52
32,01-04-2020 06:15:00,346.4,343,1.52
33,01-04-2020 06:45:00,352.3,348.6,1.55
34,01-04-2020 07:15:00,349.3,345.6,1.53
35,01-04-2020 07:45:00,349.8,346.3,1.54
36,01-04-2020 08:15:00,350,346.3,1.53
37,01-04-2020 08:45:00,353.3,349.4,1.54
38,01-04-2020 09:15:00,350.5,346.7,1.52
39,01-04-2020 09:45:00,350.9,347.1,1.53
