datetime,Flow_metersCubedPerSecond,Water_Temperature_celsius,Salinity_practicalSalinityUnits
1979-01-01 00:00:00,22.286687,-0.958080666,3.5
1979-01-02 00:00:00,21.184691,-1.002412835,3.5
1979-01-03 00:00:00,20.155962,-1.039211457,3.5
1979-01-04 00:00:00,19.178719,-1.07022426,3.5
1979-01-05 00:00:00,18.261676,-1.09610829,3.5
1979-01-06 00:00:00,17.403534,-1.117333287,3.5
1979-01-07 00:00:00,16.594692,-1.134572352,3.5
1979-01-08 00:00:00,6.41145,-1.063115732,3.5
1979-01-09 00:00:00,15.130966,-1.157371173,3.5
1979-01-10 00:00:00,14.460344,-1.163585631,3.5
1979-01-11 00:00:00,13.720483,-1.169092169,3.5
1979-01-12 00:00:00,12.926344,-1.175279174,3.5
1979-01-13 00:00:00,12.790267,-1.168513782,3.5
1979-01-14 00:00:00,12.773633,-1.156303661,3.5
1979-01-15 00:00:00,12.25456,-1.148482329,3.5
1979-01-16 00:00:00,11.884831,-1.134679658,3.5
1979-01-17 00:00:00,11.47517,-1.118102448,3.5
1979-01-18 00:00:00,10.644715,-1.109322373,3.5
1979-01-19 00:00:00,10.765512,-1.077810995,3.5
1979-01-20 00:00:00,10.512412,-1.054947658,3.5
1979-01-21 00:00:00,10.128218,-1.028087355,3.5
1979-01-22 00:00:00,9.580343,-1.0024354,3.5
1979-01-23 00:00:00,9.252806,-0.972440244,3.5
1979-01-24 00:00:00,9.527964,-0.933693867,3.5
1979-01-25 00:00:00,9.221943,-0.897375943,3.5
1979-01-26 00:00:00,8.875652,-0.858240097,3.5
1979-01-27 00:00:00,8.68531,-0.814249151,3.5
1979-01-28 00:00:00,8.491078,-0.768273416,3.5
1979-01-29 00:00:00,8.277408,-0.719391135,3.5
1979-01-30 00:00:00,8.055832,-0.667804638,3.5
1979-01-31 00:00:00,7.890496,-0.61292746,3.5
1979-02-01 00:00:00,7.726853,-0.555290356,3.5
1979-02-02 00:00:00,7.568962,-0.494939946,3.5
1979-02-03 00:00:00,7.427188,-0.431847682,3.5
1979-02-04 00:00:00,7.307715,-0.365909317,3.5
1979-02-05 00:00:00,7.198836,-0.297134876,3.5
1979-02-06 00:00:00,7.101551,-0.225469329,3.5
1979-02-07 00:00:00,7.014161,-0.150678408,3.5
1979-02-08 00:00:00,6.918046,-0.072939307,3.5
1979-02-09 00:00:00,6.811627,0.007107833,3.5
1979-02-10 00:00:00,6.63949,0.09012167,3.5
1979-02-11 00:00:00,6.500431,0.175611163,3.5
1979-02-12 00:00:00,6.778102,0.268663722,3.5
1979-02-13 00:00:00,6.713877,0.360056269,3.5
1979-02-14 00:00:00,6.643544,0.456178732,3.5
1979-02-15 00:00:00,6.560949,0.555339337,3.5
1979-02-16 00:00:00,6.499583,0.65733912,3.5
1979-02-17 00:00:00,6.433928,0.762333601,3.5
1979-02-18 00:00:00,6.379144,0.870286295,3.5
1979-02-19 00:00:00,6.360076,0.981533899,3.5
1979-02-20 00:00:00,6.152707,1.096785001,3.5
1979-02-21 00:00:00,6.667382,1.2062149,3.5
1979-02-22 00:00:00,7.328499,1.325562913,3.5
