datetime,wtr_0,wtr_0.5,wtr_1,wtr_1.5,wtr_2,wtr_2.5,wtr_3,wtr_3.5,wtr_4,wtr_4.5,wtr_5,wtr_5.5,wtr_6,wtr_6.5,wtr_7,wtr_7.5,wtr_8,wtr_8.5,wtr_9,wtr_9.5,wtr_10,wtr_10.5,wtr_11,wtr_11.5,wtr_12,wtr_12.5,wtr_13,wtr_13.5,wtr_14,wtr_14.5,wtr_15,wtr_15.5,wtr_16,wtr_16.5,wtr_17,wtr_17.5,wtr_18,wtr_18.5,wtr_19,wtr_19.2,wtr_19.5,wtr_20,wtr_20.5,wtr_21,wtr_21.3,wtr_21.5,wtr_21.9,wtr_22,wtr_22.3,wtr_22.5,wtr_22.8,wtr_22.9,wtr_23,wtr_23.1,wtr_23.2,wtr_23.3,wtr_23.5,wtr_23.6,wtr_23.8,wtr_23.9,wtr_24,wtr_24.1,wtr_24.2,wtr_24.3,wtr_24.4,wtr_24.5,wtr_24.6,wtr_24.7,wtr_24.8,wtr_24.9,wtr_25,wtr_25.1,wtr_25.2
1995-01-01 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-01-02 00:00:00,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.73,0.79,0.84,0.89,0.94,0.99,1.04,1.09,1.19,1.29,1.34,1.39,1.41,1.44,1.49,1.5,1.5,1.5,1.5,1.5,1.5,1.57,1.63,1.72,1.75,1.78,1.81,1.85,1.89,1.97,2.01,2.09,2.11,2.13,2.15,2.16,2.18,2.19,2.2,2.2,2.2,2.2,2.2,NA,NA,NA
1995-01-03 00:00:00,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,1.04,1.09,1.19,1.29,1.34,1.39,1.41,1.44,1.49,1.5,1.5,1.5,1.5,1.5,1.52,1.57,1.63,1.72,1.75,1.78,1.82,1.86,1.9,1.98,2.02,2.1,2.12,2.13,2.15,2.16,2.18,2.2,2.2,2.2,2.2,2.2,2.2,NA,NA,NA
1995-01-04 00:00:00,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.24,1.35,1.4,1.42,1.45,1.49,1.5,1.5,1.5,1.5,1.51,1.52,1.58,1.64,1.73,1.76,1.79,1.83,1.87,1.91,1.99,2.03,2.1,2.12,2.13,2.15,2.17,2.18,2.2,2.2,2.2,2.2,2.2,2.2,NA,NA,NA
1995-01-05 00:00:00,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.47,1.5,1.5,1.5,1.5,1.51,1.53,1.58,1.64,1.73,1.76,1.79,1.83,1.87,1.91,1.99,2.03,2.11,2.12,2.14,2.15,2.17,2.19,2.2,2.2,2.2,2.2,2.2,NA,NA,NA,NA
1995-01-06 00:00:00,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.57,1.64,1.74,1.77,1.8,1.84,1.88,1.92,2,2.04,2.11,2.12,2.14,2.15,2.17,2.19,2.2,2.2,2.2,2.2,2.2,NA,NA,NA,NA
1995-01-07 00:00:00,1.45,1.48,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.56,1.63,1.74,1.77,1.8,1.83,1.87,1.91,1.99,2.03,2.11,2.12,2.14,2.15,2.17,2.19,2.2,2.2,2.2,2.2,2.2,NA,NA,NA,NA
1995-01-08 00:00:00,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.67,1.74,1.8,1.86,1.91,1.99,2.03,2.11,2.12,2.14,2.15,2.17,2.19,2.2,2.2,2.2,2.2,2.2,NA,NA,NA,NA
1995-01-09 00:00:00,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.73,1.8,1.93,1.99,2.11,2.12,2.14,2.15,2.17,2.19,2.2,2.2,2.2,2.2,2.2,NA,NA,NA,NA
1995-01-10 00:00:00,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.8,1.85,1.94,1.98,2.03,2.07,2.12,2.16,2.2,2.2,2.2,2.2,2.2,NA,NA,NA,NA
