"",21.000
0.0000,0.0000E+000
1.0000,0.0000E+000
2.0000,0.0000E+000
3.0000,0.0000E+000
4.0000,0.0000E+000
5.0000,0.0000E+000
6.0000,0.0000E+000
7.0000,0.0000E+000
8.0000,0.0000E+000
9.0000,0.0000E+000
10.0000,0.0000E+000
11.0000,0.0000E+000
12.0000,0.0000E+000
13.0000,0.0000E+000
14.0000,0.0000E+000
15.0000,0.0000E+000
16.0000,0.0000E+000
17.0000,0.0000E+000
18.0000,0.0000E+000
19.0000,0.0000E+000
20.0000,0.0000E+000
21.0000,0.0000E+000
22.0000,0.0000E+000
23.0000,0.0000E+000
24.0000,0.0000E+000
25.0000,0.0000E+000
26.0000,0.0000E+000
27.0000,0.0000E+000
28.0000,0.0000E+000
29.0000,0.0000E+000
30.0000,0.0000E+000
31.0000,0.0000E+000
32.0000,0.0000E+000
33.0000,0.0000E+000
34.0000,0.0000E+000
35.0000,0.0000E+000
36.0000,0.0000E+000
37.0000,0.0000E+000
38.0000,0.0000E+000
39.0000,0.0000E+000
40.0000,0.0000E+000
41.0000,0.0000E+000
42.0000,0.0000E+000
43.0000,0.0000E+000
44.0000,0.0000E+000
45.0000,0.0000E+000
46.0000,0.0000E+000
47.0000,0.0000E+000
48.0000,0.0000E+000
49.0000,0.0000E+000
50.0000,0.0000E+000
51.0000,0.0000E+000
52.0000,0.0000E+000
53.0000,0.0000E+000
54.0000,0.0000E+000
55.0000,0.0000E+000
56.0000,0.0000E+000
57.0000,0.0000E+000
58.0000,0.0000E+000
59.0000,0.0000E+000
60.0000,0.0000E+000
61.0000,0.0000E+000
62.0000,0.0000E+000
63.0000,0.0000E+000
64.0000,0.0000E+000
65.0000,0.0000E+000
66.0000,0.0000E+000
67.0000,0.0000E+000
68.0000,0.0000E+000
69.0000,1.4317E+001
70.0000,3.2760E+001
71.0000,8.3700E+001
72.0000,6.5687E+001
73.0000,1.5892E+001
74.0000,4.2123E+001
75.0000,3.7117E+001
76.0000,2.9091E+001
77.0000,3.1392E+001
78.0000,7.5980E+001
79.0000,5.2880E+001
80.0000,1.1389E+001
81.0000,1.8946E+001
82.0000,5.6974E-001
83.0000,0.0000E+000
84.0000,1.6395E+001
85.0000,2.2880E+001
86.0000,-7.1911E+000
87.0000,-6.0770E+000
88.0000,-3.0381E+000
89.0000,-1.0968E+001
90.0000,-7.2216E+000
91.0000,1.5483E+000
92.0000,2.4622E+001
93.0000,-8.2148E+001
94.0000,-5.5227E+001
95.0000,-9.4117E+000
96.0000,-1.0917E+001
97.0000,-1.8839E+000
98.0000,2.7899E+000
99.0000,-5.2629E+001
100.0000,-3.6423E+001
101.0000,1.8521E+001
102.0000,-1.1662E+001
103.0000,-6.2506E+000
104.0000,-1.9409E+001
105.0000,1.5553E+001
106.0000,5.6959E+000
107.0000,1.1534E+001
108.0000,1.4773E+001
109.0000,1.7185E+000
110.0000,-1.4958E+001
111.0000,-8.3734E+000
112.0000,-1.1918E+001
113.0000,-2.3694E+000
114.0000,-1.8319E+001
115.0000,-7.8148E+000
116.0000,-7.3688E+000
117.0000,-1.0811E+001
118.0000,1.7618E+000
119.0000,-4.6238E+000
120.0000,-1.3545E+001
121.0000,-1.0352E+001
122.0000,-1.0915E+000
123.0000,3.8163E-001
124.0000,-9.4146E+000
125.0000,-4.5442E+000
126.0000,8.6627E+000
127.0000,1.3581E+001
128.0000,-2.7205E+001
129.0000,-6.4658E+000
130.0000,-4.8216E+000
131.0000,9.1449E-001
132.0000,-6.5187E-002
133.0000,6.1161E+001
134.0000,-8.3145E+000
135.0000,-3.1871E+000
