wind_speed,swr,mixing/coef_mix_hyp,mixing/coef_mix_KH,meteorology/ch,par_id
0.91625,1.0208,0.49237,0.56334,0.002129,p00001
1.0533,1.0193,0.7825,0.70543,0.0023076,p00002
0.84894,1.191,0.31467,0.17174,0.0019504,p00003
0.83801,0.88716,0.38996,0.14759,0.0013831,p00004
0.80942,1.0442,0.34,0.88049,0.0028412,p00005
0.99941,1.073,0.48457,0.37193,0.0024121,p00006
0.83808,0.83517,0.61798,0.25146,0.0015809,p00007
1.0362,1.063,0.25872,0.1966,0.0016414,p00008
0.87241,0.88648,0.62917,0.4713,0.0011386,p00009
0.83295,0.99969,0.26423,0.1751,0.0017965,p00010
0.93666,0.80619,0.51512,0.47464,0.0014445,p00011
0.82294,1.16,0.62757,0.67948,0.0025628,p00012
1.0799,1.1157,0.69666,0.7925,0.0010569,p00013
0.86381,0.92367,0.29243,0.83038,0.0025336,p00014
0.83349,0.85411,0.75546,0.11517,0.002282,p00015
1.0015,1.1432,0.18859,0.4226,0.0013371,p00016
1.0805,0.99232,0.30859,0.65674,0.0021453,p00017
1.0948,0.89444,0.58072,0.84325,0.0028498,p00018
1.0528,1.1024,0.69102,0.1671,0.0017553,p00019
1.1199,0.97252,0.63504,0.65799,0.0024305,p00020
1.1044,0.81843,0.15286,0.32024,0.0013224,p00021
1.1999,0.81342,0.40285,0.60171,0.0012453,p00022
1.136,1.0386,0.3158,0.2499,0.002761,p00023
1.1808,1.0338,0.47285,0.66009,0.0020517,p00024
1.1816,0.88044,0.82357,0.20092,0.0010739,p00025
1.0981,1.114,0.50114,0.40666,0.0017311,p00026
0.90171,1.1713,0.83211,0.14273,0.0016369,p00027
1.0591,0.94379,0.46534,0.10101,0.0018845,p00028
0.98021,1.0587,0.36066,0.42636,0.0026559,p00029
1.0783,1.0719,0.14895,0.2157,0.0013915,p00030
0.87753,0.83799,0.77421,0.59006,0.0015744,p00031
0.85207,0.90346,0.39507,0.54275,0.0019319,p00032
1.0188,0.89983,0.88223,0.85493,0.0020623,p00033
0.8298,1.1095,0.16365,0.48922,0.0014024,p00034
0.82812,1.0249,0.29048,0.18746,0.0021915,p00035
1.1711,0.81039,0.79042,0.57376,0.0019786,p00036
1.0554,0.87345,0.69218,0.3678,0.0011178,p00037
0.96814,0.97129,0.7659,0.52294,0.0027517,p00038
0.89054,0.80508,0.34925,0.48207,0.0020923,p00039
0.87563,0.95364,0.75565,0.12963,0.002601,p00040
1.1688,1.0754,0.78884,0.35585,0.0028837,p00041
1.0746,0.92445,0.40212,0.28382,0.0029716,p00042
0.8708,1.0202,0.32205,0.54501,0.0027052,p00043
1.0779,0.90649,0.11598,0.82439,0.0014206,p00044
1.0563,1.057,0.71462,0.79342,0.0023243,p00045
1.1327,0.97825,0.26481,0.75492,0.0024036,p00046
0.835,0.97912,0.40679,0.40234,0.0015413,p00047
1.0005,1.1239,0.21723,0.47951,0.0026702,p00048
0.87188,1.1791,0.52189,0.34543,0.002457,p00049
0.89433,0.90281,0.62618,0.38916,0.001131,p00050
1.1637,0.99197,0.59218,0.58772,0.0010767,p00051
0.82898,1.177,0.80286,0.50092,0.0029109,p00052
0.9699,0.92182,0.23416,0.10014,0.0021128,p00053
1.0863,1.1928,0.40927,0.54146,0.0010607,p00054
0.90855,1.1573,0.32159,0.68835,0.0022511,p00055
0.95263,1.0539,0.61773,0.59749,0.0018781,p00056
1.0086,0.82396,0.83825,0.5054,0.0027488,p00057
0.83404,0.90335,0.73762,0.53948,0.0027802,p00058
1.184,0.82255,0.82898,0.87078,0.0027677,p00059
0.82049,0.92046,0.10399,0.21623,0.0018167,p00060
0.83577,0.80208,0.84476,0.7884,0.0028974,p00061
1.0441,0.84166,0.41479,0.48632,0.0019412,p00062
0.88722,0.90051,0.73332,0.77009,0.0020194,p00063
0.90859,1.0082,0.53368,0.30523,0.0024877,p00064
1.0957,0.97685,0.55005,0.22859,0.0025857,p00065
0.87768,0.99776,0.27836,0.68535,0.0022548,p00066
1.0484,0.85881,0.64977,0.47883,0.0015484,p00067
0.9364,0.92018,0.56791,0.64115,0.0023218,p00068
0.97129,0.95801,0.25447,0.32913,0.0012433,p00069
1.1081,1.1826,0.29547,0.51328,0.0024535,p00070
1.1571,0.83874,0.82934,0.35574,0.0026174,p00071
0.87289,0.94745,0.89909,0.28856,0.0012169,p00072
1.0998,1.1658,0.60283,0.53416,0.0016497,p00073
0.96327,0.97584,0.82457,0.71849,0.0016833,p00074
