wind_speed,swr,turb_param/k_min,g2/constant_value,par_id
0.87534,0.97094,4.3123e-05,1.2931,p00001
1.1367,1.0389,5.6436e-11,0.87236,p00002
0.86398,0.83105,6.9017e-15,2.4747,p00003
0.85902,1.0961,2.075e-08,0.90509,p00004
0.91762,0.91858,2.9776e-09,1.1401,p00005
1.107,1.1994,1.6644e-14,1.6172,p00006
1.0322,0.92995,1.1026e-07,2.5863,p00007
0.95381,1.1472,2.9716e-12,3.0722,p00008
1.0223,0.99069,6.4058e-13,0.70104,p00009
0.90323,1.1321,4.8822e-13,2.665,p00010
1.1233,0.85882,5.8757e-15,3.2367,p00011
0.96836,1.1464,0.00010434,3.1099,p00012
1.1397,1.0594,6.4081e-06,2.4942,p00013
1.1677,1.0646,2.2188e-14,1.2618,p00014
0.85641,1.0639,4.7671e-05,2.7057,p00015
1.0255,1.1673,1.0451e-14,1.8815,p00016
0.98752,1.0281,6.2961e-08,2.5177,p00017
0.94663,0.96891,1.0588e-07,1.0216,p00018
0.83683,1.0371,1.9697e-05,1.9608,p00019
1.0363,1.0588,3.3929e-07,2.5417,p00020
0.81513,1.0386,1.1583e-06,1.8372,p00021
0.93343,1.0615,0.00034335,2.0287,p00022
0.80218,0.93682,1.3562e-12,3.121,p00023
0.89729,1.1719,6.1805e-11,1.292,p00024
1.0931,1.0737,1.339e-05,0.9524,p00025
1.0516,0.85104,1.5942e-05,2.4545,p00026
0.99728,1.106,1.575e-05,1.958,p00027
0.97598,0.99192,4.6194e-07,2.4797,p00028
1.1394,0.98957,2.6567e-06,0.53255,p00029
0.89504,1.0871,9.1374e-15,0.81233,p00030
0.95841,1.0336,9.6601e-11,0.7948,p00031
0.82237,0.8492,2.1968e-13,2.614,p00032
1.1135,0.97966,7.119e-06,2.7021,p00033
0.84969,0.9909,1.5825e-07,2.8995,p00034
1.0049,0.99388,5.8171e-15,2.3554,p00035
1.0639,1.173,6.7413e-09,1.3403,p00036
1.1901,0.92718,2.2198e-12,1.0769,p00037
1.1387,0.9036,2.9139e-11,3.2984,p00038
0.99143,0.85181,7.6231e-06,0.52896,p00039
0.91451,1.1385,9.0099e-10,0.9818,p00040
0.97766,0.99748,2.0304e-06,2.7655,p00041
1.1964,0.86205,4.829e-14,1.8073,p00042
1.0146,0.98677,3.0254e-11,2.5672,p00043
1.089,1.0845,2.1537e-08,1.056,p00044
0.94987,0.89731,5.829e-08,1.2709,p00045
1.187,0.85501,1.7173e-10,2.258,p00046
1.0177,1.0467,2.2752e-06,3.2815,p00047
0.80727,0.81421,1.5674e-09,1.1209,p00048
0.98806,1.0402,1.2208e-10,1.5842,p00049
1.0034,1.0965,4.9419e-09,0.65179,p00050
1.1181,0.80029,1.0148e-10,1.967,p00051
1.1884,0.90932,1.179e-12,2.7413,p00052
1.0754,1.0079,2.4831e-07,3.396,p00053
0.83536,0.9096,9.0848e-13,2.2204,p00054
0.84778,0.98274,1.9047e-05,1.7549,p00055
0.99648,1.1734,7.8037e-09,1.7804,p00056
0.8466,1.1622,1.2815e-13,1.4946,p00057
1.0969,1.14,6.9195e-10,2.0126,p00058
0.92763,0.97694,8.7675e-05,3.1909,p00059
0.94393,1.1425,5.2225e-12,0.6893,p00060
0.86185,1.1906,2.7635e-14,0.62783,p00061
0.82337,0.80437,1.1298e-11,1.6842,p00062
0.95462,1.0137,6.6595e-06,1.378,p00063
0.82781,1.1287,7.6159e-10,3.3543,p00064
1.0419,0.90323,3.1977e-08,2.0483,p00065
