wind_speed,swr,a_seiche,par_id
0.86612,1.0807,0.0002857,p00001
1.1484,0.99308,0.00021836,p00002
0.92962,0.8948,0.00028108,p00003
1.0884,0.99492,0.00029146,p00004
0.83142,1.1213,0.00029138,p00005
0.96862,1.1084,0.00016197,p00006
1.0144,0.86345,0.00017322,p00007
0.91346,0.89443,0.00018581,p00008
0.929,1.1522,8.6012e-05,p00009
0.85782,0.83636,0.00015324,p00010
0.96906,1.1127,0.00025328,p00011
0.8711,0.86045,0.00010078,p00012
0.87102,1.0935,0.00028252,p00013
1.0104,1.1544,9.688e-05,p00014
0.91944,0.94395,0.00013636,p00015
0.82445,1.1633,9.7471e-05,p00016
0.88461,1.096,8.9236e-05,p00017
1.0129,0.86913,0.00021469,p00018
1.0512,0.8238,0.00014676,p00019
1.0632,0.99726,0.00013373,p00020
0.97731,1.1789,8.8758e-05,p00021
1.1951,0.93141,0.00010581,p00022
0.80261,1.1838,0.00028732,p00023
1.0354,1.0841,0.00029248,p00024
0.96167,1.018,0.00015689,p00025
1.0956,1.0574,0.00013846,p00026
1.1142,0.98883,0.00014707,p00027
1.0493,0.90307,0.00026453,p00028
0.84705,0.83499,0.00028218,p00029
0.88657,1.0663,0.00019173,p00030
0.83369,1.1742,0.00018367,p00031
1.0857,0.89932,0.00010507,p00032
0.98131,0.87323,0.00018181,p00033
0.81753,1.1957,0.00027353,p00034
0.92041,0.88667,0.00024325,p00035
0.82877,0.91081,0.00018323,p00036
0.84501,1.1974,0.00019478,p00037
1.1517,1.1651,0.00017667,p00038
0.9946,1.0522,0.00012657,p00039
1.001,0.93704,0.00029566,p00040
0.80146,1.0574,0.00021103,p00041
0.83033,0.98538,8.3322e-05,p00042
0.84517,0.81863,0.00017909,p00043
1.121,0.98777,9.832e-05,p00044
1.0563,0.91161,0.00026407,p00045
1.19,1.1466,0.0001666,p00046
0.87971,0.94546,0.0001318,p00047
1.0101,0.9629,0.0001334,p00048
0.93527,0.84139,0.00011157,p00049
1.0422,1.1761,0.000196,p00050
1.1219,1.1016,0.00021631,p00051
1.0102,0.94875,0.00026127,p00052
1.0848,0.81956,0.00011945,p00053
0.87086,1.0159,0.0002509,p00054
1.1169,0.90913,0.00010093,p00055
0.90147,1.0034,0.00028563,p00056
0.81432,1.1975,0.00012865,p00057
1.1226,0.80212,0.0001703,p00058
1.1424,0.89274,8.3389e-05,p00059
0.92912,0.81396,0.00028622,p00060
0.98548,0.84824,8.4339e-05,p00061
0.9519,1.0994,0.00011083,p00062
0.96511,1.0942,0.00015239,p00063
0.84221,1.091,0.00017911,p00064
1.182,1.1424,0.00028494,p00065
0.91007,1.1662,0.0001393,p00066
0.93864,0.9828,0.00015068,p00067
0.95321,0.9117,0.00028931,p00068
1.196,0.98184,0.00024044,p00069
0.96366,0.97796,0.00024831,p00070
1.1564,1.0602,0.00010666,p00071
0.9366,1.0719,0.00023651,p00072
0.96255,0.93761,0.00020359,p00073
0.8487,1.0692,0.00029017,p00074
1.0232,1.0363,0.00011239,p00075
1.1945,1.1918,0.00022507,p00076
0.91142,0.9308,0.00025749,p00077
1.0978,0.87866,0.00015392,p00078
0.94502,0.85904,0.00028467,p00079
0.98037,0.80797,0.00011351,p00080
1.151,0.93061,0.00028102,p00081
0.92766,1.0662,0.000248,p00082
0.96854,1.1128,8.6042e-05,p00083
0.98041,1.1172,0.00020237,p00084
1.0421,1.1557,0.00022121,p00085
0.89646,0.84949,0.00020629,p00086
1.0186,1.0172,0.00026987,p00087
0.91892,1.1069,0.00023002,p00088
0.88427,1.1804,0.0002634,p00089
0.95355,0.90807,0.00021913,p00090
0.83063,1.0184,0.00015777,p00091
0.89166,0.85734,0.00017917,p00092
1.0654,1.0879,8.3769e-05,p00093
1.191,0.83278,0.00025147,p00094
0.92846,0.97194,0.00024318,p00095
1.0122,0.94559,0.000202,p00096
0.84444,1.1347,0.00026232,p00097
