wind_speed,swr,mixing/coef_mix_hyp,mixing/coef_mix_KH,meteorology/ch,par_id
1.012,0.85621,0.58261,0.3528,0.0028481,p00001
0.87768,1.1983,0.52538,0.47592,0.0022948,p00002
0.82006,0.86513,0.28734,0.5471,0.0011133,p00003
1.0224,0.9107,0.7341,0.11215,0.0023386,p00004
1.0201,0.86576,0.34601,0.79031,0.0020462,p00005
0.81004,1.1034,0.16568,0.71839,0.0019058,p00006
0.87011,0.97498,0.30375,0.75469,0.0020457,p00007
0.89901,1.1024,0.80618,0.65521,0.0025226,p00008
0.88657,0.85706,0.8712,0.19307,0.0024913,p00009
1.0796,0.92676,0.64789,0.32557,0.0013135,p00010
0.88099,0.84941,0.11599,0.21648,0.0015967,p00011
0.9684,0.99402,0.33733,0.69533,0.0021148,p00012
0.85159,0.85525,0.80358,0.36477,0.0021062,p00013
0.92323,0.90196,0.48336,0.37064,0.0022745,p00014
0.90853,0.9684,0.16235,0.11581,0.0014664,p00015
1.1596,0.9616,0.45466,0.18082,0.0014077,p00016
0.90432,0.99564,0.62527,0.47226,0.0024191,p00017
1.1452,0.93013,0.71514,0.72001,0.0026936,p00018
1.1985,0.82894,0.23705,0.16462,0.0025304,p00019
1.0231,0.83926,0.73059,0.30184,0.002769,p00020
0.84584,1.0742,0.22495,0.65388,0.0017268,p00021
0.97932,0.87677,0.71408,0.18911,0.0010802,p00022
0.96928,0.88234,0.10583,0.84727,0.0019737,p00023
0.98526,0.91983,0.13067,0.12124,0.0010216,p00024
0.97206,1.1518,0.70977,0.1142,0.0017971,p00025
1.1,1.0601,0.79287,0.75555,0.0029247,p00026
0.88833,1.0998,0.74129,0.4093,0.0016484,p00027
1.1516,0.82164,0.43162,0.76008,0.0014357,p00028
1.1755,1.0705,0.54599,0.39774,0.0015849,p00029
0.84182,1.1385,0.342,0.58912,0.0011741,p00030
1.0992,0.98097,0.35269,0.54377,0.0029395,p00031
0.81913,0.93467,0.83301,0.36531,0.0022429,p00032
0.85481,0.92556,0.11734,0.57927,0.0022501,p00033
0.80698,0.97819,0.58474,0.82001,0.0027023,p00034
0.87966,0.94233,0.48993,0.50265,0.0025698,p00035
1.0687,0.988,0.64437,0.52198,0.0027715,p00036
0.81529,1.0747,0.26531,0.61777,0.0014925,p00037
1.0929,1.0459,0.604,0.3968,0.0013355,p00038
0.84618,0.86938,0.80032,0.23319,0.0026294,p00039
0.96327,0.96149,0.2887,0.83655,0.0022611,p00040
1.0295,0.85174,0.69619,0.8851,0.0018488,p00041
0.91086,1.1558,0.27901,0.12185,0.0012137,p00042
1.0655,1.0544,0.73111,0.73679,0.0019779,p00043
1.1436,0.95808,0.76075,0.79659,0.0013527,p00044
0.8512,1.0106,0.64929,0.46783,0.0029025,p00045
0.85013,1.0516,0.39786,0.15502,0.0013468,p00046
1.0854,0.92826,0.47044,0.64917,0.0016654,p00047
0.92524,0.94399,0.47438,0.57329,0.0017768,p00048
0.86945,0.88191,0.18165,0.70958,0.0010243,p00049
1.0565,1.1759,0.43566,0.48005,0.0021759,p00050
0.94824,0.88147,0.62739,0.1242,0.002436,p00051
1.0766,1.1317,0.75602,0.36449,0.0028711,p00052
0.81635,0.94229,0.81719,0.84557,0.0028748,p00053
0.9283,1.1297,0.46844,0.56305,0.0025584,p00054
1.0136,0.8499,0.54734,0.38459,0.001351,p00055
0.86614,0.95773,0.743,0.45606,0.0027772,p00056
0.9288,1.009,0.75005,0.67514,0.002525,p00057
1.019,1.0098,0.39587,0.55128,0.0026958,p00058
1.0686,0.88704,0.45549,0.48492,0.0017864,p00059
1.0096,0.89612,0.69081,0.22413,0.0013247,p00060
1.1807,0.96771,0.17429,0.64412,0.0024916,p00061
0.88754,1.0934,0.84413,0.41882,0.0016608,p00062
1.1046,1.1562,0.58704,0.28018,0.0024508,p00063
1.0394,0.9784,0.18593,0.72578,0.0029926,p00064
0.93791,0.97745,0.6105,0.21109,0.0012097,p00065
1.0911,1.1834,0.83565,0.53475,0.0011653,p00066
1.0563,1.1664,0.77761,0.45559,0.0023802,p00067
0.84712,0.82709,0.20504,0.26708,0.0017533,p00068
0.82694,0.99923,0.44471,0.2731,0.0022339,p00069
0.88814,0.98859,0.4506,0.56438,0.0025038,p00070
1.1758,0.80499,0.37488,0.13117,0.0012215,p00071
1.0184,0.96088,0.5767,0.88294,0.0015699,p00072
1.0831,1.0242,0.40865,0.37757,0.0014905,p00073
0.94754,1.1233,0.59391,0.19712,0.0022182,p00074
1.1139,1.0136,0.43548,0.37471,0.0014716,p00075
0.93931,1.0939,0.3357,0.42771,0.0025645,p00076
1.1895,0.8874,0.44066,0.20988,0.0016635,p00077
1.142,0.89616,0.2222,0.46021,0.0021098,p00078
0.92155,0.9461,0.17319,0.27858,0.0018275,p00079
0.84199,1.0865,0.55841,0.80134,0.0013131,p00080
1.0636,0.88934,0.2346,0.63322,0.0029881,p00081
0.94909,1.091,0.10342,0.24211,0.0021377,p00082
1.0518,1.0489,0.12725,0.50873,0.0016892,p00083
0.82632,0.92653,0.50358,0.52772,0.001147,p00084
0.99564,1.1631,0.16641,0.31868,0.0024991,p00085
0.89374,1.0142,0.78201,0.77743,0.0028856,p00086
0.95945,1.1826,0.63359,0.22393,0.0021539,p00087
0.8803,0.89367,0.54948,0.63491,0.00146,p00088
1.12,0.99622,0.19247,0.84672,0.0014806,p00089
1.0505,0.99391,0.49342,0.18646,0.001853,p00090
1.0131,0.81284,0.31231,0.64341,0.0018035,p00091
0.8551,0.99033,0.13026,0.32525,0.0022876,p00092
0.98921,1.0278,0.74572,0.78952,0.0016686,p00093
0.83124,1.0173,0.20859,0.73483,0.0012345,p00094
0.98044,1.1828,0.81439,0.47576,0.0018209,p00095
0.8556,1.0787,0.27341,0.27603,0.0019908,p00096
1.1658,1.0148,0.41332,0.10211,0.0023057,p00097
0.87539,0.89408,0.57655,0.24869,0.0023194,p00098
0.93256,0.96862,0.38671,0.50485,0.0016359,p00099
0.97711,1.1301,0.16933,0.14017,0.0023685,p00100
0.89355,0.84518,0.55078,0.18724,0.0022507,p00101
1.1594,0.99312,0.56761,0.45922,0.0025436,p00102
0.81809,0.96919,0.44875,0.23365,0.0022212,p00103
0.94425,0.95433,0.18681,0.61456,0.0018059,p00104
1.1225,1.0758,0.7127,0.55747,0.0018103,p00105
0.94223,0.91669,0.32807,0.44972,0.001791,p00106
0.95421,0.86737,0.15217,0.45423,0.0022635,p00107
1.0699,1.0026,0.84711,0.71517,0.0026116,p00108
1.1137,0.84738,0.27558,0.20184,0.0029903,p00109
0.8215,0.88761,0.75762,0.79848,0.0016517,p00110
1.0072,0.90252,0.89602,0.42796,0.0016901,p00111
0.88003,1.0348,0.76825,0.25977,0.0025969,p00112
1.0504,0.98557,0.37431,0.10018,0.0029047,p00113
0.85169,1.1287,0.74074,0.19682,0.0011774,p00114
1.1372,0.94893,0.46722,0.21244,0.0026819,p00115
1.165,1.0834,0.42246,0.10777,0.0010283,p00116
0.89012,1.0465,0.88867,0.71171,0.0023874,p00117
1.015,1.199,0.59229,0.67785,0.0020046,p00118
0.9183,1.1567,0.62971,0.80876,0.0016339,p00119
1.0304,0.92775,0.2914,0.34169,0.0018348,p00120
1.1028,0.9117,0.2006,0.29207,0.0026785,p00121
1.1869,1.1835,0.86371,0.30048,0.0028102,p00122
0.81412,1.1031,0.84795,0.18115,0.0011374,p00123
0.97004,0.967,0.45989,0.7692,0.0021417,p00124
1.0502,0.98357,0.75019,0.32251,0.0015777,p00125
1.0886,0.8542,0.86608,0.31824,0.0021354,p00126
1.1187,1.1437,0.57852,0.82272,0.0021514,p00127
1.0906,0.84983,0.58088,0.27138,0.0026247,p00128
1.1012,0.95453,0.56966,0.42666,0.0013391,p00129
1.1786,0.82348,0.39451,0.72256,0.0013829,p00130
1.1014,0.85189,0.64782,0.51052,0.0020481,p00131
0.83919,1.0905,0.77877,0.60092,0.0018039,p00132
0.89413,1.0587,0.85776,0.73785,0.0029118,p00133
0.97163,0.90505,0.13128,0.48344,0.0013633,p00134
0.83331,0.82536,0.73718,0.30721,0.0020356,p00135
0.87381,0.82721,0.49173,0.25101,0.0027598,p00136
0.88892,0.86345,0.73143,0.79534,0.0013035,p00137
0.90813,1.0151,0.33289,0.79086,0.0013705,p00138
0.80891,1.1327,0.71159,0.46953,0.0017092,p00139
0.81208,1.0555,0.20141,0.12401,0.0017698,p00140
0.92584,0.98174,0.8515,0.38857,0.0018341,p00141
1.0474,0.89659,0.4024,0.29291,0.0028822,p00142
0.94773,0.82703,0.34922,0.36273,0.0011857,p00143
0.92802,1.1999,0.46347,0.81523,0.0023173,p00144
0.95241,0.8607,0.38227,0.62172,0.0026918,p00145
0.84961,1.1345,0.87109,0.17794,0.0010178,p00146
0.84429,0.85202,0.1382,0.66515,0.0017005,p00147
0.84698,0.81931,0.58386,0.41488,0.0012447,p00148
1.0887,1.1606,0.72002,0.59518,0.0018091,p00149
0.96141,1.1985,0.12257,0.45012,0.0017481,p00150
0.90276,1.1025,0.59106,0.20816,0.0025628,p00151
0.96686,1.1261,0.15801,0.52784,0.0016966,p00152
0.92709,1.0055,0.8181,0.89759,0.0024427,p00153
1.0001,0.87461,0.75753,0.52863,0.0017093,p00154
0.9359,1.1704,0.63928,0.73151,0.0012793,p00155
1.133,0.85355,0.82959,0.75404,0.0024737,p00156
1.0406,0.91251,0.43892,0.26051,0.0024997,p00157
0.85491,0.96573,0.46662,0.22016,0.0029795,p00158
0.85044,1.0587,0.86152,0.89735,0.0028719,p00159
0.96193,1.1108,0.42073,0.81161,0.0012718,p00160
1.0692,1.1712,0.86751,0.46055,0.0019962,p00161
0.93638,1.1424,0.48969,0.58343,0.0014898,p00162
1.0792,1.1906,0.57219,0.30948,0.0020122,p00163
0.87289,1.0412,0.71183,0.64726,0.0019873,p00164
0.90304,0.99823,0.13103,0.67048,0.0025239,p00165
0.96371,0.98766,0.37809,0.68287,0.0016916,p00166
0.9886,1.0164,0.79485,0.44088,0.0029075,p00167
1.1163,1.145,0.37029,0.32261,0.0022022,p00168
0.92695,0.83285,0.59851,0.89148,0.0011864,p00169
0.97133,1.1015,0.6482,0.69773,0.002462,p00170
0.8357,1.0179,0.34517,0.75378,0.0025095,p00171
1.1459,0.90349,0.54465,0.61513,0.0026158,p00172
0.86137,0.82334,0.20031,0.12551,0.0025303,p00173
0.8154,0.96238,0.85699,0.75744,0.0010738,p00174
1.1347,0.964,0.23814,0.40725,0.0024247,p00175
1.187,1.1653,0.64405,0.59232,0.0023351,p00176
1.0463,0.98399,0.82193,0.12662,0.002701,p00177
1.0897,0.8186,0.34546,0.72043,0.0024511,p00178
0.99263,0.9595,0.62266,0.25655,0.0024808,p00179
1.0356,1.044,0.13111,0.82716,0.0028364,p00180
1.131,1.145,0.10766,0.26192,0.001916,p00181
0.81828,1.069,0.63048,0.80769,0.0015958,p00182
0.84569,0.80146,0.8484,0.47802,0.0018893,p00183
0.8453,1.0439,0.14276,0.22775,0.0010799,p00184
0.83644,1.0352,0.68196,0.59928,0.0012881,p00185
0.80756,1.1613,0.1837,0.89986,0.0029499,p00186
1.1042,0.90518,0.33923,0.8311,0.0015015,p00187
0.8489,1.0418,0.33065,0.4118,0.0011794,p00188
1.0698,1.0028,0.27599,0.57676,0.0023393,p00189
0.93205,0.95985,0.68348,0.86951,0.0020638,p00190
1.0457,0.81211,0.7526,0.68648,0.0010858,p00191
1.1931,1.0264,0.87846,0.66932,0.0021943,p00192
