wind_speed,swr,a_seiche,par_id
1.0671,1.0211,0.00025004,p00001
1.0769,1.177,0.0002281,p00002
0.92515,1.0879,0.00019697,p00003
1.08,0.96551,9.5611e-05,p00004
0.94568,0.96994,0.00014999,p00005
0.99793,0.83966,0.0001214,p00006
0.94717,0.83712,0.00016401,p00007
0.82045,1.0546,0.00022779,p00008
1.006,1.007,0.00018858,p00009
1.101,1.0725,0.00028386,p00010
0.97233,1.0211,0.00028765,p00011
0.91043,1.0448,0.00028742,p00012
1.1599,1.0357,0.00029517,p00013
0.88653,0.89016,9.5396e-05,p00014
1.1942,1.0308,0.00015611,p00015
0.8409,0.81023,0.00018539,p00016
1.102,1.0824,0.00023257,p00017
0.93904,1.0207,0.00019969,p00018
0.84189,0.88617,0.00025268,p00019
1.1442,0.9563,0.00020339,p00020
0.82202,0.86965,0.00012661,p00021
0.94743,1.0079,0.00020681,p00022
0.92504,1.1402,0.00012961,p00023
0.82052,0.80693,0.00011274,p00024
0.91497,1.1376,0.00015131,p00025
1.0411,1.0796,0.0002066,p00026
1.0934,1.0215,9.3501e-05,p00027
1.1633,1.1547,0.00028332,p00028
1.1966,0.9399,0.00022924,p00029
0.86272,1.0213,0.00015504,p00030
0.82303,0.84144,0.00026475,p00031
0.82222,1.043,0.00022752,p00032
0.89313,1.0813,0.00026493,p00033
1.1445,0.92028,0.00027589,p00034
0.98432,0.95686,0.00028538,p00035
0.80326,1.1232,0.00016605,p00036
1.0335,0.98495,9.6688e-05,p00037
0.8314,0.97869,0.00016692,p00038
0.90703,0.94464,0.00026272,p00039
1.0549,0.95265,0.00020984,p00040
1.0159,1.1942,0.00020801,p00041
1.1891,1.1933,0.00015125,p00042
1.134,0.91723,0.00012217,p00043
0.87347,1.0791,0.00014129,p00044
0.88769,0.84223,0.00027566,p00045
1.09,0.99831,0.00016045,p00046
0.83455,1.0153,0.00023396,p00047
1.1544,0.81199,0.00021568,p00048
1.1895,1.0143,0.00015631,p00049
0.97365,0.844,0.00014058,p00050
0.82584,1.0369,9.2757e-05,p00051
0.96907,1.0039,0.00017574,p00052
0.83993,0.99608,0.00020205,p00053
1.0725,0.82408,0.00015173,p00054
0.80823,0.8686,8.8447e-05,p00055
1.1474,1.0651,0.00015876,p00056
1.1422,0.89486,0.00023976,p00057
0.91732,1.1111,0.00011526,p00058
1.0316,1.1824,0.00023434,p00059
0.89873,0.82271,0.00011442,p00060
1.1886,0.92218,0.00015548,p00061
0.82994,0.85492,0.00025304,p00062
1.1074,1.0315,0.00015808,p00063
0.9028,0.98266,9.6373e-05,p00064
1.0288,0.81599,0.00011943,p00065
0.9719,1.0145,0.00013663,p00066
0.93666,1.046,9.8959e-05,p00067
0.85681,0.89564,0.00029638,p00068
1.1457,1.135,8.7801e-05,p00069
0.99836,1.0199,0.00022252,p00070
1.1206,1.1033,0.00016965,p00071
1.0737,0.91893,0.00016712,p00072
1.0974,0.94147,0.00017225,p00073
0.93243,1.1911,0.00027827,p00074
1.0459,0.84139,0.00029709,p00075
0.90947,1.0871,0.00010508,p00076
1.1408,0.98158,0.00011985,p00077
0.91548,1.0569,0.00018047,p00078
0.93141,0.94947,0.00024606,p00079
0.85247,1.1417,0.00012341,p00080
0.98784,1.0637,0.0002601,p00081
0.86628,1.1793,0.00029098,p00082
1.0479,0.83988,0.00020828,p00083
0.98937,0.81692,0.00011191,p00084
0.90145,1.0004,0.00013694,p00085
1.0077,1.1645,0.00013969,p00086
0.87901,0.84355,0.00021115,p00087
1.0644,1.0562,0.00019298,p00088
0.8497,1.1194,8.7592e-05,p00089
0.84996,1.155,0.0002942,p00090
0.92563,1.0035,0.00022249,p00091
