"",21.000
0.0000,0.0000E+000
1.0000,3.6651E-002
2.0000,7.6563E-002
3.0000,1.1608E-001
4.0000,1.6408E-001
5.0000,1.9740E-001
6.0000,2.1256E-001
7.0000,2.3359E-001
8.0000,2.6042E-001
9.0000,2.8451E-001
10.0000,2.9569E-001
11.0000,3.0394E-001
12.0000,2.9781E-001
13.0000,2.9731E-001
14.0000,3.0091E-001
15.0000,3.1170E-001
16.0000,3.2082E-001
17.0000,3.1930E-001
18.0000,3.2610E-001
19.0000,3.3136E-001
20.0000,3.3826E-001
21.0000,3.4786E-001
22.0000,3.5809E-001
23.0000,3.6892E-001
24.0000,3.8649E-001
25.0000,4.0021E-001
26.0000,4.1542E-001
27.0000,4.2510E-001
28.0000,4.3343E-001
29.0000,4.4548E-001
30.0000,4.5574E-001
31.0000,4.6093E-001
32.0000,4.6539E-001
33.0000,4.7213E-001
34.0000,4.7790E-001
35.0000,4.8803E-001
36.0000,5.0567E-001
37.0000,5.2281E-001
38.0000,5.3621E-001
39.0000,5.5117E-001
40.0000,5.5745E-001
41.0000,5.6308E-001
42.0000,5.7977E-001
43.0000,5.9443E-001
44.0000,6.0733E-001
45.0000,6.1732E-001
46.0000,6.2214E-001
47.0000,6.3130E-001
48.0000,6.3692E-001
49.0000,6.3273E-001
50.0000,6.2116E-001
51.0000,6.0099E-001
52.0000,6.0546E-001
53.0000,5.9632E-001
54.0000,5.8299E-001
55.0000,5.8363E-001
56.0000,5.8089E-001
57.0000,5.8361E-001
58.0000,5.7747E-001
59.0000,5.8159E-001
60.0000,5.9219E-001
61.0000,6.0225E-001
62.0000,6.0860E-001
63.0000,6.0172E-001
64.0000,5.9964E-001
65.0000,5.9936E-001
66.0000,6.0239E-001
67.0000,6.0910E-001
68.0000,6.1559E-001
69.0000,6.0247E-001
70.0000,5.6721E-001
71.0000,5.1381E-001
72.0000,4.6717E-001
73.0000,4.2356E-001
74.0000,3.8615E-001
75.0000,3.5205E-001
76.0000,3.2345E-001
77.0000,2.8527E-001
78.0000,2.4732E-001
79.0000,2.0394E-001
80.0000,1.6695E-001
81.0000,1.3410E-001
82.0000,1.0497E-001
83.0000,7.6566E-002
84.0000,4.3790E-002
85.0000,1.0017E-002
86.0000,0.0000E+000
87.0000,0.0000E+000
88.0000,0.0000E+000
89.0000,0.0000E+000
90.0000,0.0000E+000
91.0000,0.0000E+000
92.0000,0.0000E+000
93.0000,0.0000E+000
94.0000,0.0000E+000
95.0000,0.0000E+000
96.0000,0.0000E+000
97.0000,0.0000E+000
98.0000,0.0000E+000
99.0000,0.0000E+000
100.0000,0.0000E+000
101.0000,0.0000E+000
102.0000,0.0000E+000
103.0000,0.0000E+000
104.0000,0.0000E+000
105.0000,0.0000E+000
106.0000,0.0000E+000
107.0000,0.0000E+000
108.0000,0.0000E+000
109.0000,0.0000E+000
110.0000,0.0000E+000
111.0000,0.0000E+000
112.0000,0.0000E+000
113.0000,0.0000E+000
114.0000,0.0000E+000
115.0000,0.0000E+000
116.0000,0.0000E+000
117.0000,0.0000E+000
118.0000,0.0000E+000
119.0000,0.0000E+000
120.0000,0.0000E+000
121.0000,0.0000E+000
122.0000,0.0000E+000
123.0000,0.0000E+000
124.0000,0.0000E+000
125.0000,0.0000E+000
126.0000,0.0000E+000
127.0000,0.0000E+000
128.0000,0.0000E+000
129.0000,0.0000E+000
130.0000,0.0000E+000
131.0000,0.0000E+000
132.0000,0.0000E+000
133.0000,0.0000E+000
134.0000,0.0000E+000
135.0000,0.0000E+000
136.0000,0.0000E+000
137.0000,0.0000E+000
138.0000,0.0000E+000
139.0000,0.0000E+000
140.0000,0.0000E+000
141.0000,0.0000E+000
142.0000,0.0000E+000
143.0000,0.0000E+000
144.0000,0.0000E+000
145.0000,0.0000E+000
146.0000,0.0000E+000
147.0000,0.0000E+000
148.0000,0.0000E+000
149.0000,0.0000E+000
150.0000,0.0000E+000
151.0000,0.0000E+000
152.0000,0.0000E+000
153.0000,0.0000E+000
154.0000,0.0000E+000
155.0000,0.0000E+000
156.0000,0.0000E+000
157.0000,0.0000E+000
158.0000,0.0000E+000
159.0000,0.0000E+000
160.0000,0.0000E+000
161.0000,0.0000E+000
162.0000,0.0000E+000
163.0000,0.0000E+000
164.0000,0.0000E+000
165.0000,0.0000E+000
166.0000,0.0000E+000
167.0000,0.0000E+000
168.0000,0.0000E+000
169.0000,0.0000E+000
170.0000,0.0000E+000
171.0000,0.0000E+000
172.0000,0.0000E+000
173.0000,0.0000E+000
174.0000,0.0000E+000
175.0000,0.0000E+000
176.0000,0.0000E+000
177.0000,0.0000E+000
178.0000,0.0000E+000
179.0000,0.0000E+000
180.0000,0.0000E+000
181.0000,0.0000E+000
182.0000,0.0000E+000
183.0000,0.0000E+000
184.0000,0.0000E+000
185.0000,0.0000E+000
186.0000,0.0000E+000
187.0000,0.0000E+000
188.0000,0.0000E+000
189.0000,0.0000E+000
190.0000,0.0000E+000
191.0000,0.0000E+000
192.0000,0.0000E+000
193.0000,0.0000E+000
194.0000,0.0000E+000
195.0000,0.0000E+000
196.0000,0.0000E+000
197.0000,0.0000E+000
198.0000,0.0000E+000
199.0000,0.0000E+000
200.0000,0.0000E+000
