datetime,Depth_meter,Water_Temperature_celsius
1995-05-09 00:00:00,0,11.3
1995-05-09 00:00:00,1,11.3
1995-05-09 00:00:00,2,11.3
1995-05-09 00:00:00,3,11.3
1995-05-09 00:00:00,4,11.2
1995-05-09 00:00:00,5,11
1995-05-09 00:00:00,6,10.5
1995-05-09 00:00:00,7,10.4
1995-05-09 00:00:00,8,10.2
1995-05-09 00:00:00,9,9.8
1995-05-09 00:00:00,10,9.5
1995-05-09 00:00:00,11,9.4
1995-05-09 00:00:00,12,9.4
1995-05-09 00:00:00,13,9.2
1995-05-09 00:00:00,14,9
1995-05-09 00:00:00,15,9
1995-05-09 00:00:00,16,8.9
1995-05-09 00:00:00,17,8.9
1995-05-09 00:00:00,18,8.8
1995-05-23 00:00:00,0,15.3
1995-05-23 00:00:00,1,NA
1995-05-23 00:00:00,2,15.4
1995-05-23 00:00:00,3,15.4
1995-05-23 00:00:00,4,15.3
1995-05-23 00:00:00,5,15
1995-05-23 00:00:00,6,14.9
1995-05-23 00:00:00,7,14.9
1995-05-23 00:00:00,8,14.9
1995-05-23 00:00:00,9,14.6
1995-05-23 00:00:00,10,13.4
1995-05-23 00:00:00,11,12
1995-05-23 00:00:00,12,11.8
1995-05-23 00:00:00,13,11.5
1995-05-23 00:00:00,14,10.8
1995-05-23 00:00:00,15,10.3
1995-05-23 00:00:00,16,10.3
1995-05-23 00:00:00,17,10.2
1995-06-06 00:00:00,0,22.4
1995-06-06 00:00:00,1,22.3
1995-06-06 00:00:00,2,22.2
1995-06-06 00:00:00,3,20.8
1995-06-06 00:00:00,4,17.7
1995-06-06 00:00:00,5,16.3
1995-06-06 00:00:00,6,15.8
1995-06-06 00:00:00,7,15.6
1995-06-06 00:00:00,8,15.3
1995-06-06 00:00:00,9,14.6
1995-06-06 00:00:00,10,13.9
1995-06-06 00:00:00,11,13
1995-06-06 00:00:00,12,12.4
1995-06-06 00:00:00,13,11.9
1995-06-06 00:00:00,14,11.3
1995-06-06 00:00:00,15,10.8
1995-06-06 00:00:00,16,10.5
1995-06-06 00:00:00,17,10.4
1995-06-06 00:00:00,18,10.4
1995-06-21 00:00:00,0,27.6
1995-06-21 00:00:00,1,27.4
1995-06-21 00:00:00,2,26.9
1995-06-21 00:00:00,3,25.1
1995-06-21 00:00:00,4,21.5
1995-06-21 00:00:00,5,20.3
1995-06-21 00:00:00,6,19.1
1995-06-21 00:00:00,7,17.7
1995-06-21 00:00:00,8,16.6
1995-06-21 00:00:00,9,15.3
1995-06-21 00:00:00,10,14.3
1995-06-21 00:00:00,11,13.4
1995-06-21 00:00:00,12,12.6
1995-06-21 00:00:00,13,12.2
1995-06-21 00:00:00,14,11.7
1995-06-21 00:00:00,15,11.5
1995-06-21 00:00:00,16,11.5
1995-06-21 00:00:00,17,11.4
1995-06-21 00:00:00,18,11.3
1995-06-21 00:00:00,19,11.3
1995-06-21 00:00:00,20,11.3
1995-07-07 00:00:00,0,20.9
1995-07-07 00:00:00,1,21.1
1995-07-07 00:00:00,2,21.2
1995-07-07 00:00:00,3,21.2
1995-07-07 00:00:00,4,21.2
1995-07-07 00:00:00,5,21.2
1995-07-07 00:00:00,6,21.2
1995-07-07 00:00:00,7,21.2
1995-07-07 00:00:00,8,20.8
1995-07-07 00:00:00,9,17.2
1995-07-07 00:00:00,10,16
1995-07-07 00:00:00,11,14.6
1995-07-07 00:00:00,12,13.2
1995-07-07 00:00:00,13,12.6
1995-07-07 00:00:00,14,12
1995-07-07 00:00:00,15,11.8
1995-07-07 00:00:00,16,11.7
1995-07-07 00:00:00,17,11.7
1995-07-18 00:00:00,0,25.8
1995-07-18 00:00:00,1,25.8
1995-07-18 00:00:00,2,25.7
1995-07-18 00:00:00,3,25.6
1995-07-18 00:00:00,4,25.4
1995-07-18 00:00:00,5,25.2
1995-07-18 00:00:00,6,22.1
1995-07-18 00:00:00,7,20.4
1995-07-18 00:00:00,8,19.1
1995-07-18 00:00:00,9,17.1
1995-07-18 00:00:00,10,14.8
1995-07-18 00:00:00,11,13.4
1995-07-18 00:00:00,12,12.9
1995-07-18 00:00:00,13,12.6
1995-07-18 00:00:00,14,12.5
1995-07-18 00:00:00,15,12.3
1995-07-18 00:00:00,16,12.2
1995-07-18 00:00:00,17,12.1
1995-07-18 00:00:00,18,12.2
1995-07-18 00:00:00,19,12.2
1995-08-02 00:00:00,0,26
1995-08-02 00:00:00,1,26.1
