datetime,ln_null_GLM,ln_01_GLM,ln_05_GLM,ln_1_GLM,ln_15_GLM,ln_2_GLM,ln_25_GLM,ln_3_GLM,ln_35_GLM,ln_4_GLM,ln_45_GLM,ln_5_GLM,ln_10_GLM,id
1995-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-01-02,0.111181861620555,0.111181861620555,0.111181861620555,0.111181861620555,0.111181861620555,0.111181861620555,0.111181861620555,0.111181861620555,0.111181861620555,0.111181861620555,0.111181861620555,0.111181861620555,0.111181861620555,mendota
1995-01-03,0.0255094789447655,0.0178514734018708,0.0228616774255706,0.0227701839960061,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-01-04,0.0130409459548362,0.0130456634208514,0.00972100247113528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-01-05,NA,NA,-0.000675209857593298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-01-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-01-09,NA,NA,-0.0796369962842063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-01-10,NA,NA,-0.0337630109179261,-0.0331716515986227,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-01-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-01-12,NA,NA,-0.0640526387462663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-01-14,0.000860798847734159,0.000765366753397595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-01-15,0.00254215208665408,0.00198584849730984,-0.000721325078803232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-01-16,NA,NA,-0.0456699600739776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-01-17,NA,NA,-0.0125025384981212,-0.0135401102069349,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-01-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-01-19,NA,NA,-0.0142063759021725,-0.0145462459156494,NA,-0.0146238477891628,NA,NA,NA,NA,NA,NA,NA,mendota
1995-01-20,NA,NA,-0.000263762954515878,-0.000252372524222069,-0.00666030503810264,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-01-21,NA,NA,-0.000301220008535511,-0.0077584519706556,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-01-22,NA,NA,-0.000593706370250644,-0.000571473980517658,NA,NA,-0.000616262175518309,NA,NA,NA,NA,NA,NA,mendota
1995-01-23,NA,NA,-0.00191606475276637,NA,NA,-0.0019844147603719,NA,NA,NA,NA,NA,NA,NA,mendota
1995-01-24,NA,NA,-0.0988773378777933,NA,-0.102885024382424,NA,NA,NA,NA,-0.102324159624561,NA,NA,NA,mendota
1995-01-25,NA,NA,-0.15973789045789,-0.158865880137851,-0.159705386075406,NA,NA,-0.160305702079938,NA,-0.15877570433142,NA,NA,NA,mendota
1995-01-26,NA,NA,-0.15857797421761,-0.157171871851136,-0.157566681687311,-0.158569878559284,-0.160059425292308,-0.158355310002564,-0.156501133498944,NA,NA,-0.156627500233613,NA,mendota
1995-01-27,NA,NA,-0.0906926074327444,-0.0979225662850877,-0.11817327670299,-0.102331157111698,-0.100488458769833,-0.0999646144318913,-0.0996647234404901,-0.0998122882594756,-0.100280530612633,-0.101118547597137,-0.0994331865975731,mendota
